"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","343.914","346.357","347.093","344.078","","-0.51%"
"04/18/2024","345.693","346.506","347.770","346.166","","-0.10%"
"04/17/2024","346.038","345.705","347.496","345.559","","0.20%"
"04/16/2024","345.350","345.968","347.155","345.052","","-0.04%"
"04/15/2024","345.498","346.090","347.750","345.662","","-0.02%"
"04/12/2024","345.556","348.950","349.130","345.396","","-0.78%"
"04/11/2024","348.288","348.574","349.686","347.741","","0.10%"
"04/10/2024","347.955","352.399","353.248","347.991","","-1.12%"
"04/09/2024","351.886","351.967","353.302","351.535","","0.14%"
"04/08/2024","351.399","351.273","352.423","350.578","","0.14%"
"04/05/2024","350.902","351.526","351.724","349.435","","-0.09%"
"04/04/2024","351.228","351.809","352.727","351.276","","-0.09%"
"04/03/2024","351.533","349.448","351.934","349.115","","0.63%"
"04/02/2024","349.326","348.995","349.673","348.337","","0.19%"
"04/01/2024","348.664","351.142","352.035","348.556","","-0.46%"
"03/29/2024","350.260","351.027","351.800","350.382","","-0.05%"
"03/28/2024","350.437","351.500","352.022","349.849","","-0.13%"
"03/27/2024","350.881","351.122","351.755","350.352","","0.08%"
"03/26/2024","350.596","351.728","352.464","350.783","","-0.13%"
"03/25/2024","351.048","350.518","352.421","350.166","","0.25%"
"03/22/2024","350.182","352.543","353.282","349.930","","-0.58%"
"03/21/2024","352.242","356.090","357.452","352.117","","-0.89%"
