"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","38.40","38.47","38.50","38.41","","-0.02%"
"04/18/2024","38.40","38.46","38.50","38.45","","0.03%"
"04/17/2024","38.39","38.47","38.50","38.43","","-0.03%"
"04/16/2024","38.40","38.39","38.47","38.39","","0.13%"
"04/15/2024","38.35","38.41","38.43","38.40","","0.00%"
"04/12/2024","38.36","38.42","38.42","38.40","","0.03%"
"04/11/2024","38.34","38.42","38.42","38.41","","-0.04%"
"04/10/2024","38.36","38.44","38.46","38.41","","-0.05%"
"04/09/2024","38.38","38.45","38.47","38.40","","-0.07%"
"04/08/2024","38.41","38.45","38.49","38.41","","0.05%"
"04/05/2024","38.39","38.49","38.49","38.41","","-0.06%"
"04/04/2024","38.41","38.49","38.49","38.42","","0.00%"
"04/03/2024","38.41","38.41","38.49","38.38","","0.03%"
"04/02/2024","38.40","38.45","38.48","38.39","","-0.07%"
"04/01/2024","38.42","38.48","38.54","38.42","","0.00%"
"03/29/2024","38.42","38.48","38.55","38.44","","0.03%"
"03/28/2024","38.41","38.48","38.55","38.43","","0.00%"
"03/27/2024","38.41","38.52","38.55","38.43","","-0.14%"
"03/26/2024","38.47","38.61","38.61","38.50","","-0.15%"
"03/25/2024","38.53","38.60","38.76","38.54","","0.23%"
"03/22/2024","38.44","38.69","38.69","38.47","","-0.57%"
"03/21/2024","38.66","38.71","38.79","38.65","","0.11%"
"03/20/2024","38.61","38.72","38.79","38.65","","-0.17%"
"03/19/2024","38.68","38.72","38.79","38.70","","-0.25%"
"03/18/2024","38.77","38.75","38.85","38.71","","0.16%"
"03/15/2024","38.71","38.78","38.86","38.71","","-0.12%"
"03/14/2024","38.76","38.82","38.88","38.75","","1.66%"
"03/13/2024","38.13","38.87","38.93","38.38","","-1.83%"
"03/12/2024","38.84","38.89","38.92","38.86","","0.03%"
"03/11/2024","38.83","38.51","38.91","38.46","","0.04%"
"03/08/2024","38.81","38.83","38.91","38.78","","0.03%"
"03/07/2024","38.80","38.85","38.87","38.78","","0.11%"
"03/06/2024","38.76","38.79","38.87","38.78","","0.00%"
"03/05/2024","38.76","38.46","38.87","38.46","","-0.07%"
"03/04/2024","38.78","38.45","38.89","38.44","","0.00%"
"03/01/2024","38.78","38.82","38.90","38.45","","0.00%"
"02/29/2024","38.78","38.84","38.93","38.44","","0.01%"
"02/28/2024","38.77","38.83","38.90","38.43","","0.00%"
"02/27/2024","38.77","38.84","38.91","38.45","","0.02%"
"02/26/2024","38.77","38.51","38.91","38.46","","-0.09%"
"02/23/2024","38.80","38.88","38.92","38.81","","-0.02%"
"02/22/2024","38.81","38.88","38.93","38.82","","0.03%"
"02/21/2024","38.80","38.87","39.01","38.84","","-0.11%"
"02/20/2024","38.84","38.84","38.91","38.53","","0.13%"
"02/19/2024","38.79","38.47","38.91","38.46","","0.13%"
"02/16/2024","38.74","38.92","38.92","38.79","","-0.12%"
"02/15/2024","38.79","38.92","38.92","38.51","","0.02%"
"02/14/2024","38.78","38.92","38.92","38.47","","0.11%"
"02/13/2024","38.74","38.91","38.92","38.47","","-0.11%"
"02/12/2024","38.78","38.91","38.91","38.43","","-0.04%"
"02/09/2024","38.79","38.83","38.93","38.47","","0.07%"
"02/08/2024","38.77","38.85","38.86","38.80","","0.06%"
"02/07/2024","38.74","38.87","38.96","38.79","","-0.11%"
"02/06/2024","38.78","38.50","38.94","38.48","","1.52%"
"02/05/2024","38.20","38.51","38.51","38.48","","-1.58%"
"02/02/2024","38.82","38.95","39.01","38.49","","-0.14%"
"02/01/2024","38.87","38.94","39.10","38.42","","-0.18%"
"01/31/2024","38.94","38.96","39.03","38.43","","0.15%"
"01/30/2024","38.88","38.87","39.02","38.86","","0.16%"
"01/29/2024","38.82","38.95","39.03","38.43","","-0.11%"
"01/26/2024","38.86","38.98","39.04","38.46","","-0.27%"
"01/25/2024","38.97","39.12","39.14","38.99","","-0.17%"
"01/24/2024","39.03","39.02","39.15","38.55","","0.15%"
"01/23/2024","38.97","38.88","39.10","38.87","","0.45%"
"01/22/2024","38.80","38.42","38.96","38.41","","-0.15%"
"01/19/2024","38.86","38.40","38.95","38.39","","1.96%"
"01/18/2024","38.11","38.91","38.97","38.38","","-1.73%"
"01/17/2024","38.78","39.01","39.02","38.86","","-0.44%"
"01/16/2024","38.95","39.04","39.08","38.51","","-0.24%"
"01/15/2024","39.04","39.06","39.17","38.56","","0.02%"
"01/12/2024","39.03","39.19","39.29","38.63","","-0.09%"
"01/11/2024","39.07","39.25","39.32","39.14","","-0.25%"
"01/10/2024","39.17","39.20","39.26","39.14","","0.06%"
"01/09/2024","39.14","39.31","39.39","38.76","","-0.29%"
"01/08/2024","39.26","39.37","39.43","38.77","","-0.21%"
"01/05/2024","39.34","39.32","39.48","38.76","","0.10%"
"01/04/2024","39.30","39.38","39.45","39.31","","-0.02%"
"01/03/2024","39.31","39.48","39.52","39.37","","-0.11%"
"01/02/2024","39.36","39.55","39.61","38.98","","0.16%"
"01/01/2024","39.29","39.26","39.32","39.26","","-0.68%"
"12/29/2023","39.56","39.70","39.83","39.12","","-0.29%"
"12/28/2023","39.68","39.60","39.76","39.05","","0.55%"
"12/27/2023","39.46","39.53","39.62","38.95","","-0.03%"
"12/26/2023","39.48","39.65","39.73","38.97","","-0.24%"
"12/25/2023","39.57","39.66","39.68","39.63","","-0.03%"
"12/22/2023","39.58","39.63","40.04","38.99","","-0.03%"
"12/21/2023","39.59","39.65","39.74","39.04","","-0.05%"
"12/20/2023","39.61","39.70","39.79","39.56","","-0.09%"
"12/19/2023","39.65","39.65","39.77","39.07","","0.04%"
"12/18/2023","39.63","39.79","39.87","39.20","","-0.30%"
"12/15/2023","39.75","39.82","39.97","39.30","","-0.09%"
"12/14/2023","39.79","39.79","39.97","39.19","","0.78%"
"12/13/2023","39.48","39.56","39.60","39.45","","-0.04%"
"12/12/2023","39.50","39.59","39.62","39.52","","-0.02%"
"12/11/2023","39.50","39.58","39.60","38.99","","-0.17%"
"12/08/2023","39.57","39.74","39.74","39.59","","-0.30%"
"12/07/2023","39.69","39.69","39.74","39.14","","0.10%"
"12/06/2023","39.65","39.79","39.80","39.67","","-0.29%"
"12/05/2023","39.77","39.93","39.93","39.76","","-0.24%"
"12/04/2023","39.86","40.04","40.04","39.36","","-0.11%"
"12/01/2023","39.90","40.05","40.09","39.40","","-0.17%"
"11/30/2023","39.97","40.04","40.16","39.92","","-0.06%"
"11/29/2023","40.00","39.96","40.17","39.96","","0.32%"
"11/28/2023","39.87","39.91","39.97","39.88","","0.07%"
"11/27/2023","39.84","39.97","39.99","39.40","","-0.04%"
"11/24/2023","39.86","39.48","40.19","39.22","","1.76%"
"11/23/2023","39.17","39.85","39.98","39.46","","-1.54%"
"11/22/2023","39.78","40.41","40.41","39.42","","-1.29%"
"11/21/2023","40.30","40.39","40.43","39.96","","0.43%"
"11/20/2023","40.13","40.03","40.22","39.34","","0.69%"
"11/17/2023","39.85","39.81","39.98","39.03","","0.32%"
"11/16/2023","39.73","39.76","39.81","38.96","","0.07%"
"11/15/2023","39.70","39.59","39.84","39.59","","0.35%"
"11/14/2023","39.56","39.46","39.64","39.02","","0.49%"
"11/13/2023","39.37","38.85","39.51","38.81","","-0.12%"
"11/10/2023","39.41","38.93","39.51","38.81","","1.90%"
"11/09/2023","38.68","39.43","39.44","38.96","","-1.70%"
"11/08/2023","39.35","39.35","39.47","38.95","","0.10%"
"11/07/2023","39.31","39.17","39.42","38.70","","0.46%"
"11/06/2023","39.13","39.04","39.27","38.66","","0.60%"
"11/03/2023","38.89","38.68","38.97","38.32","","0.64%"
"11/02/2023","38.64","38.57","38.77","38.14","","0.73%"
"11/01/2023","38.37","38.51","38.70","37.89","","-0.31%"
"10/31/2023","38.48","38.43","38.59","37.85","","0.25%"
"10/30/2023","38.39","38.32","38.57","37.46","","0.43%"
"10/27/2023","38.22","38.32","38.41","37.85","","-0.02%"
"10/26/2023","38.23","38.31","38.34","38.25","","0.03%"
"10/25/2023","38.22","38.25","38.34","37.79","","0.15%"
"10/24/2023","38.16","38.12","38.32","37.80","","0.41%"
"10/23/2023","38.01","37.63","38.18","37.62","","0.12%"
"10/20/2023","37.96","38.10","38.15","37.59","","-0.19%"
"10/19/2023","38.03","38.24","38.30","37.58","","-0.30%"
"10/18/2023","38.15","37.81","38.28","37.66","","1.04%"
"10/17/2023","37.75","37.85","37.90","37.19","","-0.15%"
"10/16/2023","37.81","37.50","38.11","37.18","","-0.33%"
"10/13/2023","37.94","38.25","38.28","37.48","","-0.69%"
"10/12/2023","38.20","38.30","38.32","38.11","","-0.04%"
"10/11/2023","38.21","38.93","38.93","37.80","","-1.63%"
"10/10/2023","38.85","38.71","38.91","37.92","","0.65%"
"10/09/2023","38.60","38.21","38.74","38.10","","-0.47%"
"10/06/2023","38.78","38.90","38.90","38.20","","-0.10%"
"10/05/2023","38.82","39.02","39.03","38.33","","-0.28%"
"10/04/2023","38.93","38.96","39.17","38.49","","-0.44%"
"10/03/2023","39.10","39.31","39.55","38.62","","-0.97%"
"10/02/2023","39.48","39.41","39.55","38.78","","0.00%"
"09/29/2023","39.48","39.55","39.55","39.55","","0.00%"
"09/28/2023","39.48","39.50","39.61","38.86","","1.87%"
"09/27/2023","38.76","39.27","39.67","38.94","","-0.34%"
"09/26/2023","38.89","39.77","39.79","39.12","","-2.02%"
"09/25/2023","39.69","39.49","40.16","39.26","","1.21%"
"09/22/2023","39.22","40.12","40.16","39.43","","-2.00%"
"09/21/2023","40.02","40.33","40.34","39.54","","-0.62%"
"09/20/2023","40.27","40.41","40.74","39.73","","-0.22%"
"09/19/2023","40.36","40.61","40.63","39.86","","-0.48%"
"09/18/2023","40.55","40.77","40.81","40.05","","-0.46%"
"09/15/2023","40.74","40.95","41.14","40.36","","-0.39%"
"09/14/2023","40.90","40.61","41.22","40.44","","1.42%"
"09/13/2023","40.33","41.14","41.19","40.54","","-1.73%"
"09/12/2023","41.03","41.30","41.33","40.61","","-0.44%"
"09/11/2023","41.22","41.97","42.04","40.76","","-1.29%"
"09/08/2023","41.75","41.81","41.92","40.95","","0.39%"
"09/07/2023","41.59","42.02","42.03","41.15","","-0.85%"
"09/06/2023","41.95","42.15","42.15","41.96","","-0.42%"
"09/05/2023","42.13","42.13","42.17","41.55","","0.18%"
"09/04/2023","42.05","41.61","42.20","41.56","","-0.03%"
"09/01/2023","42.06","42.22","42.31","42.03","","-0.21%"
"08/31/2023","42.15","41.77","42.24","41.43","","1.15%"
"08/30/2023","41.67","41.79","41.83","41.15","","-0.02%"
"08/29/2023","41.68","41.65","41.79","41.04","","0.51%"
"08/28/2023","41.47","41.58","41.72","40.90","","0.38%"
"08/25/2023","41.31","41.63","41.63","40.76","","-0.09%"
"08/24/2023","41.35","41.19","41.64","40.71","","0.52%"
"08/23/2023","41.13","41.06","41.21","40.62","","0.36%"
"08/22/2023","40.98","40.87","41.13","40.36","","0.37%"
"08/21/2023","40.83","40.80","40.93","40.02","","0.39%"
"08/18/2023","40.68","40.66","40.85","39.91","","0.54%"
"08/17/2023","40.46","40.59","40.73","39.86","","0.27%"
"08/16/2023","40.35","39.98","40.65","39.70","","1.26%"
"08/15/2023","39.85","39.57","40.05","39.33","","0.60%"
"08/14/2023","39.61","39.34","39.74","39.19","","-0.33%"
"08/11/2023","39.74","39.81","39.92","39.35","","-0.13%"
"08/10/2023","39.79","39.86","39.95","39.36","","-0.06%"
"08/09/2023","39.81","39.88","39.98","39.30","","0.00%"
"08/08/2023","39.81","39.62","39.95","39.38","","0.56%"
"08/07/2023","39.59","39.68","39.98","39.45","","-0.27%"
"08/04/2023","39.69","40.39","40.39","39.42","","-1.39%"
"08/03/2023","40.25","40.21","40.32","39.42","","0.34%"
"08/02/2023","40.11","40.05","40.27","39.68","","0.45%"
"08/01/2023","39.93","40.05","40.16","39.54","","-0.35%"
"07/31/2023","40.07","39.57","40.16","39.54","","0.06%"
"07/28/2023","40.05","39.98","40.06","39.92","","0.35%"
"07/27/2023","39.91","40.18","40.31","39.54","","-0.18%"
"07/26/2023","39.98","39.96","40.35","39.60","","0.17%"
"07/25/2023","39.91","40.29","40.49","39.84","","-0.30%"
"07/24/2023","40.03","39.43","40.11","39.39","","0.95%"
"07/21/2023","39.66","39.76","39.97","39.12","","0.32%"
"07/20/2023","39.53","39.56","39.76","39.07","","0.70%"
"07/19/2023","39.26","39.20","39.36","38.33","","0.19%"
"07/18/2023","39.18","38.96","39.51","38.36","","1.10%"
"07/17/2023","38.76","38.39","39.09","38.24","","-0.07%"
"07/14/2023","38.78","38.63","39.01","38.18","","0.77%"
"07/13/2023","38.49","38.78","38.82","37.49","","-0.42%"
"07/12/2023","38.65","38.80","38.95","38.01","","0.00%"
"07/11/2023","38.65","38.74","39.03","38.12","","0.08%"
"07/10/2023","38.62","38.50","38.73","37.98","","0.43%"
"07/07/2023","38.45","38.28","38.49","37.69","","0.75%"
"07/06/2023","38.17","38.27","38.34","37.61","","-0.11%"
