"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","296.181","296.449","297.238","295.393","","0.10%"
"04/18/2024","295.875","296.966","297.784","296.286","","-0.23%"
"04/17/2024","296.568","295.435","297.198","295.195","","0.49%"
"04/16/2024","295.121","295.320","296.542","294.774","","0.08%"
"04/15/2024","294.888","295.655","296.728","295.195","","-0.18%"
"04/12/2024","295.422","298.164","298.276","295.276","","-0.74%"
"04/11/2024","297.612","298.651","299.026","297.386","","-0.15%"
"04/10/2024","298.056","301.771","302.114","298.184","","-1.09%"
"04/09/2024","301.335","302.016","302.577","301.441","","-0.06%"
"04/08/2024","301.521","301.382","302.237","300.786","","0.21%"
"04/05/2024","300.888","301.284","301.608","299.909","","-0.06%"
"04/04/2024","301.072","301.217","302.374","301.159","","0.00%"
"04/03/2024","301.072","299.273","301.342","299.092","","0.67%"
"04/02/2024","299.081","298.723","299.482","297.940","","0.21%"
"04/01/2024","298.462","299.907","300.638","298.308","","-0.33%"
"03/29/2024","299.450","300.054","300.539","299.212","","-0.01%"
"03/28/2024","299.490","301.096","301.557","299.516","","-0.36%"
"03/27/2024","300.573","301.170","301.711","300.521","","-0.06%"
"03/26/2024","300.749","301.618","302.241","300.882","","-0.11%"
"03/25/2024","301.089","300.679","302.068","300.432","","0.27%"
"03/22/2024","300.271","302.478","302.892","300.446","","-0.66%"
"03/21/2024","302.256","304.164","305.488","302.177","","-0.42%"
"03/20/2024","303.520","302.807","304.220","301.647","","0.32%"
"03/19/2024","302.558","303.927","303.997","301.862","","-0.29%"
"03/18/2024","303.431","303.806","305.000","303.254","","0.04%"
"03/15/2024","303.312","303.707","304.560","302.978","","-0.04%"
"03/14/2024","303.428","302.206","306.035","301.778","","1.16%"
"03/13/2024","299.948","304.988","305.781","301.707","","-1.58%"
"03/12/2024","304.770","304.971","305.516","304.315","","0.05%"
"03/11/2024","304.617","305.556","306.129","302.408","","-0.14%"
"03/08/2024","305.055","305.723","306.576","304.858","","-0.15%"
"03/07/2024","305.503","304.572","305.779","303.475","","0.49%"
"03/06/2024","304.026","303.211","304.892","302.721","","0.42%"
"03/05/2024","302.768","303.263","303.841","300.299","","-0.09%"
"03/04/2024","303.044","303.048","303.711","299.942","","0.19%"
"03/01/2024","302.461","301.688","303.020","299.182","","0.42%"
"02/29/2024","301.188","302.866","303.462","298.622","","-0.41%"
"02/28/2024","302.433","303.090","303.406","299.517","","-0.07%"
"02/27/2024","302.656","303.257","303.966","300.108","","-0.03%"
"02/26/2024","302.741","299.876","303.508","299.669","","0.21%"
"02/23/2024","302.093","302.775","303.280","302.102","","-0.05%"
"02/22/2024","302.232","302.307","304.211","301.934","","0.15%"
"02/21/2024","301.794","302.326","303.000","301.566","","-0.01%"
"02/20/2024","301.836","301.273","302.964","298.763","","0.30%"
"02/19/2024","300.948","301.069","301.743","298.060","","0.22%"
"02/16/2024","300.293","301.022","301.555","299.677","","-0.09%"
"02/15/2024","300.565","299.820","301.454","297.696","","0.43%"
"02/14/2024","299.283","299.127","300.042","296.441","","0.30%"
"02/13/2024","298.393","301.049","301.536","297.350","","-0.70%"
"02/12/2024","300.483","301.275","302.130","297.712","","-0.15%"
"02/09/2024","300.926","301.138","301.772","297.825","","0.09%"
"02/08/2024","300.650","300.943","301.431","300.077","","0.13%"
"02/07/2024","300.263","300.522","301.348","300.209","","0.10%"
"02/06/2024","299.951","297.582","301.082","297.429","","1.55%"
"02/05/2024","295.378","301.466","301.536","297.014","","-1.90%"
"02/02/2024","301.089","303.968","304.652","299.991","","-0.76%"
"02/01/2024","303.382","302.328","304.854","297.778","","0.49%"
"01/31/2024","301.896","303.280","304.470","298.233","","-0.23%"
"01/30/2024","302.602","302.181","303.599","302.081","","0.20%"
"01/29/2024","302.013","303.323","303.960","297.957","","-0.24%"
