Symbol,Date,Price,Open,High,Low,Vol.,Change %
GOLD,1/23/2023,"445,389","442,786","446,993","440,532",0,0.62%
GOLD,1/24/2023,"447,262","446,353","449,545","443,745",0,0.42%
GOLD,1/25/2023,"450,529","448,299","451,526","444,623",0,0.73%
GOLD,1/26/2023,"450,513","451,348","451,792","450,000",0,0.00%
GOLD,1/27/2023,"481,833","483,293","484,628","445,883",0,6.95%
GOLD,1/30/2023,"504,846","483,063","508,802","482,124",0,4.78%
GOLD,1/31/2023,"515,523","505,886","519,511","504,766",0,2.11%
GOLD,2/1/2023,"519,510","516,819","522,277","510,153",0,0.77%
GOLD,2/2/2023,"517,283","521,058","530,104","516,537",0,-0.43%
GOLD,2/3/2023,"512,011","518,210","528,005","505,865",0,-1.02%
GOLD,2/6/2023,"513,368","513,154","519,339","507,325",0,0.27%
GOLD,2/7/2023,"516,653","514,174","520,878","513,340",0,0.64%
GOLD,2/8/2023,"513,910","517,796","519,639","510,467",0,-0.53%
GOLD,2/9/2023,"501,023","514,825","518,851","501,389",0,-2.51%
GOLD,2/10/2023,"502,014","502,133","505,775","494,166",0,0.20%
GOLD,2/13/2023,"498,977","498,628","503,884","494,931",0,-0.60%
GOLD,2/14/2023,"494,904","499,918","503,238","490,608",0,-0.82%
GOLD,2/15/2023,"487,536","496,113","497,599","481,293",0,-1.49%
GOLD,2/16/2023,"486,634","488,629","490,862","479,294",0,-0.19%
GOLD,2/17/2023,"482,823","488,310","488,759","474,473",0,-0.78%
GOLD,2/20/2023,"481,458","484,382","485,279","478,357",0,-0.28%
GOLD,2/21/2023,"481,161","482,069","485,715","477,754",0,-0.06%
GOLD,2/22/2023,"477,285","482,214","483,172","474,712",0,-0.81%
GOLD,2/23/2023,"477,946","478,076","479,255","471,819",0,0.14%
GOLD,2/24/2023,"470,309","479,286","480,530","467,612",0,-1.60%
GOLD,2/27/2023,"471,122","471,484","473,532","466,071",0,0.17%
GOLD,2/28/2023,"476,788","472,057","478,750","468,827",0,1.20%
GOLD,3/1/2023,"479,008","478,029","490,981","476,384",0,0.47%
GOLD,3/2/2023,"516,380","480,430","520,829","478,818",0,7.80%
GOLD,3/3/2023,"511,050","517,309","521,639","505,947",0,-1.03%
GOLD,3/6/2023,"508,305","512,078","518,394","504,513",0,-0.54%
GOLD,3/7/2023,"501,283","508,989","514,055","499,632",0,-1.38%
GOLD,3/8/2023,"503,319","502,115","507,375","498,319",0,0.41%
GOLD,3/9/2023,"508,089","504,266","515,428","500,759",0,0.95%
GOLD,3/10/2023,"523,139","509,426","528,781","504,243",0,2.96%
GOLD,3/13/2023,"539,084","524,305","539,875","519,053",0,3.05%
GOLD,3/14/2023,"530,879","539,498","540,155","529,468",0,-1.52%
GOLD,3/15/2023,"542,462","530,160","545,857","529,433",0,2.18%
GOLD,3/16/2023,"543,301","543,621","545,906","533,968",0,0.15%
GOLD,3/17/2023,"559,586","544,117","560,916","536,619",0,3.00%
GOLD,3/20/2023,"556,136","560,304","570,910","547,644",0,-0.62%
GOLD,3/21/2023,"545,256","557,806","564,205","545,302",0,-1.96%
GOLD,3/22/2023,"556,597","546,615","560,036","541,678",0,2.08%
GOLD,3/23/2023,"562,651","557,721","566,722","555,842",0,1.09%
GOLD,3/24/2023,"558,053","563,964","566,654","558,481",0,-0.82%
GOLD,3/27/2023,"554,670","553,014","560,932","548,881",0,-0.61%
GOLD,3/28/2023,"558,385","555,562","560,040","547,488",0,0.67%
GOLD,3/29/2023,"555,938","559,241","559,834","550,423",0,-0.44%
GOLD,3/30/2023,"560,807","556,651","562,875","550,743",0,0.88%
GOLD,3/31/2023,"557,946","561,767","563,803","553,398",0,-0.51%
GOLD,4/3/2023,"564,559","551,857","567,233","546,438",0,1.19%
GOLD,4/4/2023,"579,259","565,752","584,015","560,231",0,2.60%
GOLD,4/5/2023,"580,799","582,665","586,546","573,369",0,0.27%
GOLD,4/6/2023,"578,054","583,639","583,639","567,283",0,-0.47%
GOLD,4/7/2023,"569,273","578,788","578,998","561,340",0,-1.52%
GOLD,4/10/2023,"569,969","570,306","575,860","560,879",0,0.12%
GOLD,4/11/2023,"576,538","570,298","580,321","567,793",0,1.15%
GOLD,4/12/2023,"579,246","578,312","585,202","569,067",0,0.47%
GOLD,4/13/2023,"580,403","580,375","584,608","567,093",0,0.20%
GOLD,4/14/2023,"569,048","581,127","583,310","560,846",0,-1.96%
GOLD,4/17/2023,"566,026","569,427","574,391","561,682",0,-0.53%
GOLD,4/18/2023,"568,319","567,394","572,368","560,046",0,0.41%
GOLD,4/19/2023,"556,671","569,518","570,065","552,383",0,-2.05%
GOLD,4/20/2023,"566,676","560,029","571,282","557,331",0,1.80%
GOLD,4/21/2023,"561,160","568,090","568,630","557,148",0,-0.97%
GOLD,4/24/2023,"563,324","555,171","564,599","553,268",0,0.39%
GOLD,4/25/2023,"564,769","564,242","568,066","560,395",0,0.26%
GOLD,4/26/2023,"563,772","565,989","568,919","558,104",0,-0.18%
GOLD,4/27/2023,"562,979","564,156","568,871","558,433",0,-0.14%
GOLD,4/28/2023,"563,498","563,742","565,937","555,532",0,0.09%
GOLD,5/1/2023,"561,654","557,607","568,473","553,970",0,-0.33%
GOLD,5/2/2023,"570,791","562,869","573,185","561,213",0,1.63%
GOLD,5/3/2023,"577,042","571,972","579,147","569,087",0,1.10%
GOLD,5/4/2023,"580,847","578,460","588,402","576,109",0,0.66%
GOLD,5/5/2023,"571,884","581,993","582,928","566,652",0,-1.54%
GOLD,5/8/2023,"573,230","564,782","576,110","564,051",0,0.24%
GOLD,5/9/2023,"576,523","574,205","580,087","568,442",0,0.57%
GOLD,5/10/2023,"588,188","577,501","593,728","571,748",0,2.02%
GOLD,5/11/2023,"594,813","588,433","605,482","578,955",0,1.13%
GOLD,5/12/2023,"572,949","596,158","596,511","563,355",0,-3.68%
GOLD,5/15/2023,"573,194","566,714","577,711","565,551",0,0.04%
GOLD,5/16/2023,"565,402","574,477","577,299","563,578",0,-1.36%
GOLD,5/17/2023,"563,705","566,693","568,394","561,399",0,-0.30%
GOLD,5/18/2023,"557,902","564,827","566,550","554,941",0,-1.03%
GOLD,5/19/2023,"562,567","559,194","565,467","557,799",0,0.84%
GOLD,5/22/2023,"563,861","558,238","568,733","557,833",0,0.23%
