"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","74.1100","74.2450","74.2950","74.1500","","0.00%"
"04/18/2024","74.1100","74.1750","74.2750","74.1700","","0.03%"
"04/17/2024","74.0900","74.1650","74.2800","74.1550","","-0.01%"
"04/16/2024","74.1000","74.1050","74.2250","74.1000","","0.12%"
"04/15/2024","74.0100","74.1000","74.1650","74.0950","","0.01%"
"04/12/2024","74.0000","74.1100","74.1200","74.0800","","0.01%"
"04/11/2024","73.9900","74.1100","74.1150","74.1000","","0.00%"
"04/10/2024","73.9900","74.1050","74.1550","74.0750","","-0.03%"
"04/09/2024","74.0100","74.1500","74.1850","74.0550","","-0.04%"
"04/08/2024","74.0400","74.1000","74.2300","74.0700","","0.01%"
"04/05/2024","74.0300","74.1250","74.2250","74.0700","","-0.07%"
"04/04/2024","74.0800","74.1300","74.2350","74.0900","","0.00%"
"04/03/2024","74.0800","74.0700","74.2350","74.0350","","0.04%"
"04/02/2024","74.0500","74.1350","74.2350","74.0650","","-0.03%"
"04/01/2024","74.0700","74.1200","74.2750","74.0500","","0.11%"
"03/29/2024","73.9900","74.1400","74.2800","74.0500","","-0.05%"
"03/28/2024","74.0300","74.1400","74.2750","74.0650","","0.01%"
"03/27/2024","74.0200","74.1350","74.2750","74.0650","","-0.03%"
"03/26/2024","74.0400","74.2100","74.2800","74.1000","","-0.07%"
"03/25/2024","74.0900","74.1800","74.4200","74.1100","","-0.01%"
"03/22/2024","74.1000","74.2650","74.4800","74.1400","","-0.15%"
"03/21/2024","74.2100","74.2650","74.4550","74.1900","","0.11%"
"03/20/2024","74.1300","74.3200","74.4650","74.1900","","-0.16%"
"03/19/2024","74.2500","74.5300","74.5350","74.2900","","-0.23%"
"03/18/2024","74.4200","74.3700","74.5700","74.2900","","0.17%"
"03/15/2024","74.2900","74.4100","74.5700","74.2850","","-0.08%"
"03/14/2024","74.3500","73.6050","74.5600","73.6000","","1.75%"
"03/13/2024","73.0700","74.4250","74.6050","73.6000","","-1.75%"
