"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","278.000","278.550","278.675","278.200","","0.00%"
"04/18/2024","278.000","278.500","278.625","278.400","","0.03%"
"04/17/2024","277.920","278.450","278.600","278.175","","-0.02%"
"04/16/2024","277.970","278.200","278.425","278.150","","0.13%"
"04/15/2024","277.620","278.100","278.200","277.950","","0.01%"
"04/12/2024","277.600","277.970","278.025","277.910","","-0.14%"
"04/11/2024","277.988","277.950","281.076","277.950","","0.17%"
"04/10/2024","277.520","278.040","278.145","277.865","","-0.03%"
"04/09/2024","277.600","278.000","278.250","277.800","","-0.04%"
"04/08/2024","277.720","278.425","278.425","277.860","","0.01%"
"04/05/2024","277.700","278.425","278.425","277.850","","-0.06%"
"04/04/2024","277.870","278.425","278.425","277.925","","0.00%"
"04/03/2024","277.870","278.000","278.425","277.750","","0.04%"
"04/02/2024","277.750","278.400","278.425","277.825","","-0.03%"
"04/01/2024","277.820","278.575","278.575","277.875","","0.12%"
"03/29/2024","277.500","278.575","278.575","277.750","","-0.05%"
"03/28/2024","277.640","278.575","278.575","277.800","","0.00%"
"03/27/2024","277.640","278.575","278.575","277.800","","-0.02%"
"03/26/2024","277.700","278.300","278.575","277.925","","-0.06%"
"03/25/2024","277.860","279.100","279.100","277.945","","-0.01%"
"03/22/2024","277.900","279.150","279.300","278.075","","-0.15%"
"03/21/2024","278.320","279.200","279.200","278.375","","0.12%"
"03/20/2024","278.000","279.250","279.250","278.250","","-0.17%"
"03/19/2024","278.470","278.725","279.250","278.610","","-0.23%"
"03/18/2024","279.120","279.400","279.665","278.625","","0.19%"
"03/15/2024","278.600","279.650","279.650","278.575","","-0.09%"
"03/14/2024","278.860","279.000","279.650","278.750","","0.02%"
"03/13/2024","278.800","279.140","279.800","278.750","","-0.05%"
"03/12/2024","278.940","279.150","279.270","279.020","","0.00%"
"03/11/2024","278.940","279.800","279.800","279.025","","0.01%"
"03/08/2024","278.920","279.450","279.800","278.975","","-0.06%"
"03/07/2024","279.100","279.800","279.800","279.200","","0.04%"
"03/06/2024","279.000","279.800","279.800","279.250","","0.03%"
"03/05/2024","278.920","276.850","279.800","276.850","","-0.10%"
"03/04/2024","279.200","276.750","279.925","276.750","","0.04%"
"03/01/2024","279.100","279.925","279.925","276.700","","0.11%"
"02/29/2024","278.800","280.050","280.050","276.630","","-0.11%"
"02/28/2024","279.100","280.050","280.050","276.650","","0.00%"
"02/27/2024","279.100","280.050","280.050","276.750","","0.02%"
"02/26/2024","279.050","277.150","280.050","276.850","","-0.07%"
"02/23/2024","279.250","280.050","280.050","279.375","","0.00%"
"02/22/2024","279.250","280.050","280.050","279.250","","0.09%"
"02/21/2024","279.000","280.050","280.050","279.300","","-0.14%"
"02/20/2024","279.400","279.975","280.050","277.130","","0.05%"
"02/19/2024","279.250","276.750","279.975","276.750","","0.19%"
"02/16/2024","278.720","279.975","279.975","279.060","","-0.12%"
"02/15/2024","279.050","279.975","279.975","277.000","","0.02%"
"02/14/2024","279.000","279.975","279.975","276.750","","0.11%"
"02/13/2024","278.690","279.875","279.975","276.750","","-0.11%"
"02/12/2024","279.000","279.875","279.875","276.450","","-0.04%"
"02/09/2024","279.100","280.050","280.050","276.750","","0.04%"
"02/08/2024","279.000","279.390","279.505","279.260","","0.08%"
"02/07/2024","278.770","280.050","280.050","279.085","","-0.05%"
"02/06/2024","278.920","280.050","280.050","279.260","","0.58%"
"02/05/2024","277.316","279.389","279.769","277.063","","-0.67%"
"02/02/2024","279.200","279.500","280.050","276.350","","0.04%"
"02/01/2024","279.100","280.150","280.700","275.950","","-0.01%"
"01/31/2024","279.120","280.050","280.150","276.000","","0.03%"
"01/30/2024","279.050","280.075","280.075","279.360","","0.09%"
"01/29/2024","278.790","280.250","280.250","276.000","","-0.06%"
"01/26/2024","278.970","280.000","280.250","276.150","","-0.15%"
"01/25/2024","279.400","280.050","280.050","279.650","","0.06%"
"01/24/2024","279.220","280.150","280.165","276.150","","-0.14%"
"01/23/2024","279.600","280.250","280.250","279.650","","0.18%"
"01/22/2024","279.100","276.400","280.250","276.400","","-0.15%"
"01/19/2024","279.520","280.100","280.250","279.535","","1.92%"
"01/18/2024","274.250","280.350","280.350","276.250","","-1.73%"
"01/17/2024","279.070","280.350","280.350","279.660","","-0.37%"
"01/16/2024","280.120","280.750","280.775","276.630","","0.04%"
"01/15/2024","280.000","280.750","280.750","276.630","","0.06%"
"01/12/2024","279.840","281.250","281.400","276.750","","-0.10%"
"01/11/2024","280.120","281.400","281.475","280.550","","-0.28%"
"01/10/2024","280.900","281.400","281.475","281.000","","0.10%"
"01/09/2024","280.620","282.000","282.000","277.600","","-0.10%"
"01/08/2024","280.900","282.150","282.150","277.750","","-0.04%"
"01/05/2024","281.000","282.250","282.250","277.750","","-0.14%"
"01/04/2024","281.400","282.250","282.250","281.450","","0.10%"
"01/03/2024","281.120","282.075","282.375","281.435","","-0.04%"
"01/02/2024","281.220","281.250","282.390","278.500","","0.80%"
"01/01/2024","278.981","278.729","279.132","278.729","","-0.71%"
"12/29/2023","280.970","282.200","282.575","277.750","","-0.40%"
"12/28/2023","282.100","281.500","282.750","277.980","","0.10%"
"12/27/2023","281.820","282.750","282.965","278.450","","-0.06%"
"12/26/2023","282.000","283.850","283.850","278.480","","0.90%"
"12/25/2023","279.493","279.305","279.590","279.305","","-1.04%"
"12/22/2023","282.420","282.400","286.250","278.750","","-0.10%"
"12/21/2023","282.700","283.050","284.000","279.000","","-0.01%"
"12/20/2023","282.720","282.750","283.975","282.500","","0.00%"
"12/19/2023","282.720","283.050","284.050","279.250","","-0.02%"
"12/18/2023","282.770","284.250","284.250","279.500","","-0.08%"
"12/15/2023","283.000","283.000","284.250","279.500","","0.01%"
"12/14/2023","282.970","284.150","284.375","279.750","","-0.09%"
"12/13/2023","283.220","284.250","284.265","283.420","","-0.10%"
"12/12/2023","283.500","284.250","284.250","283.650","","0.00%"
