Symbol,Date,Open,High,Low,Close,Volume
ACPL,4/19/2023,57.75,58.99,57.2,57.86,24500
ACPL,4/20/2023,59.06,59.06,57.65,58.29,12500
ACPL,4/26/2023,59.5,60.85,59.01,60.55,162000
ACPL,4/27/2023,61,62.4,60.5,61.9,97000
ACPL,4/28/2023,64.9,65.49,62.9,64.49,632500
ACPL,5/2/2023,62.5,67.4,62.5,66.9,235000
ACPL,5/3/2023,68,71.91,68,71.91,609500
ACPL,5/4/2023,74.85,77.3,74,77.3,797000
ACPL,5/5/2023,77,79.89,73.76,75.84,766500
ACPL,5/8/2023,74,74.6,73.5,73.5,93000
ACPL,5/9/2023,73.5,74.9,71.76,73,162000
ACPL,5/10/2023,73.69,75.5,73.69,74.95,127000
ACPL,5/11/2023,75.9,76.5,75.25,75.97,58000
ACPL,5/12/2023,76,77,75.5,75.89,60000
ACPL,5/15/2023,75.75,77,75.71,76.95,53000
ACPL,5/16/2023,79,80.5,78.52,78.93,627000
ACPL,5/17/2023,79.3,81.8,79,80.02,327500
ACPL,5/18/2023,80.1,82.25,79.5,79.83,114500
ACPL,5/19/2023,79.52,80.5,78.11,79.83,76500
ACPL,5/22/2023,79.95,81.48,79.5,79.7,63500
ACPL,5/23/2023,80.1,81,79.65,80.24,94000
ACPL,5/24/2023,80.99,82.99,80,80,51500
ACPL,5/25/2023,81,82,80,81.32,66500
ACPL,5/26/2023,83.24,85.49,81.99,84.92,266500
ACPL,5/29/2023,85,89.75,84.99,88.21,208000
ACPL,5/30/2023,86.5,86.64,85.01,85.47,149000
ACPL,5/31/2023,86,86,83,83.02,87500
ACPL,6/1/2023,83.99,85,83.07,84.05,140000
ACPL,6/2/2023,84.98,85.87,84.2,85.3,58500
ACPL,6/5/2023,85.8,85.85,84.2,84.8,18000
ACPL,6/6/2023,85.39,85.4,83,83.93,80500
ACPL,6/7/2023,82.76,85,82.5,83.01,38948
ACPL,6/8/2023,82.02,82.7,82.01,82.45,20155
ACPL,6/9/2023,82.99,82.99,81,81.08,7566
ACPL,6/12/2023,81.9,82.99,81.9,82.5,12832
ACPL,6/13/2023,80.41,82.99,80.35,81.8,1211
ACPL,6/14/2023,81.8,82.9,81,81.72,5810
ACPL,6/15/2023,80.5,81,79.4,79.45,12652
ACPL,6/16/2023,80.99,82.49,79.5,81.34,16528
ACPL,6/19/2023,81.11,81.49,79,79.42,6047
ACPL,6/20/2023,79.98,80,76.5,78.22,15809
ACPL,6/21/2023,78.99,83.85,75.56,80.68,56120
ACPL,6/22/2023,81,83.99,80,82.45,47715
ACPL,6/23/2023,84.85,88,78.03,83.95,68338
ACPL,6/26/2023,83,87.14,83,85.97,104433
ACPL,6/27/2023,85.02,87,81.05,82.87,67999
ACPL,7/3/2023,87.5,89.09,86.9,89.09,153687
ACPL,7/4/2023,89.48,89.48,86.01,88,67254
ACPL,7/5/2023,88,91,88,90.04,106893
ACPL,7/6/2023,93.47,93.98,90.55,93.19,72300
ACPL,7/7/2023,92.03,93.99,91,91.98,36965
