Symbol,Date,Open,High,Low,Close,Volume
ENGRO,4/19/2023,287,293.89,285.49,292.66,4278855
ENGRO,4/20/2023,300,314.6,298.1,309.61,5244073
ENGRO,4/26/2023,314.9,315.8,304.51,305.4,1359710
ENGRO,4/27/2023,306,308.5,303.52,306.47,748301
ENGRO,4/28/2023,307,310.49,305.11,307.33,1526632
ENGRO,5/2/2023,271.5,277,267.33,271.53,820629
ENGRO,5/3/2023,273,273,270,272.1,376823
ENGRO,5/4/2023,272,273.75,266.99,267.12,499718
ENGRO,5/5/2023,267.25,271,265.06,270.08,355874
ENGRO,5/8/2023,270.9,270.9,266.7,267.14,245591
ENGRO,5/9/2023,267.5,267.5,262,263.14,267716
ENGRO,5/10/2023,261.52,264.74,261,261.54,100092
ENGRO,5/11/2023,262.99,264.99,261.54,264.02,165501
ENGRO,5/12/2023,264.98,268,264,264.89,296761
ENGRO,5/15/2023,265.86,271.5,263.01,270.36,586473
ENGRO,5/16/2023,271.5,275.5,271,273.13,832473
ENGRO,5/17/2023,273.7,278.42,273.5,273.89,743418
ENGRO,5/18/2023,275.6,275.6,268,268.56,199082
ENGRO,5/19/2023,269.9,270.89,268,270.48,152754
ENGRO,5/22/2023,270.89,273,270,271.89,325714
ENGRO,5/23/2023,271.79,276,270.6,273.43,682835
ENGRO,5/24/2023,274,274.1,272,272.49,160692
ENGRO,5/25/2023,273,274,271.25,273.33,552665
ENGRO,5/26/2023,273.13,280.08,273.13,277.34,1976285
ENGRO,5/29/2023,279,286,277.42,280.81,658136
ENGRO,5/30/2023,280.01,283.65,280.01,282.17,330322
ENGRO,5/31/2023,282,284.5,281.5,282.89,527696
ENGRO,6/1/2023,283.98,283.98,281,281.21,50143
ENGRO,6/2/2023,283.25,283.25,274.01,274.46,580266
ENGRO,6/5/2023,272.52,275,271.25,272.88,165913
ENGRO,6/6/2023,272.8,279.9,272.1,277.98,481397
ENGRO,6/7/2023,276.55,278.9,275.2,275.85,209752
ENGRO,6/8/2023,275.55,278.88,272.5,272.96,315136
ENGRO,6/9/2023,274.7,275.87,271.01,273.26,266124
ENGRO,6/12/2023,272.1,275,271.1,271.8,149442
ENGRO,6/13/2023,273.25,273.5,268,268.76,215038
ENGRO,6/14/2023,267,271.2,267,270.4,323172
ENGRO,6/15/2023,270.5,271,267.7,268.33,176753
ENGRO,6/16/2023,270.6,270.6,266,266.45,292616
ENGRO,6/19/2023,268.89,268.99,260,260.8,710052
ENGRO,6/20/2023,260.1,262.68,260,261.06,357803
ENGRO,6/21/2023,263,263,258,258.42,152451
ENGRO,6/22/2023,259.99,259.99,255.05,255.85,109143
ENGRO,6/23/2023,255.7,258.1,254.4,255.25,125104
ENGRO,6/26/2023,256,268,256,263.78,468268
ENGRO,6/27/2023,264.98,264.98,259,259.89,268626
ENGRO,7/3/2023,279.38,279.38,269,275.78,927487
ENGRO,7/4/2023,275.99,275.99,267,267.84,535836
ENGRO,7/5/2023,269.99,270.5,264,264.6,382369
ENGRO,7/6/2023,265.8,275,264.99,273.33,2355328
ENGRO,7/7/2023,274.49,275.88,270.55,271.04,548904
ENGRO,7/10/2023,271,273.9,268,268.86,436660
ENGRO,7/11/2023,269,270.95,266.5,267.43,559167
ENGRO,7/12/2023,269.01,269.45,265.39,266.96,744300
ENGRO,7/13/2023,268.9,270,264.01,264.64,628557
ENGRO,7/14/2023,263.04,265.1,260.55,261.24,486507
ENGRO,7/17/2023,261,261.89,257.5,257.96,482631
ENGRO,7/18/2023,258.01,259.6,255.8,256.38,361372
ENGRO,7/19/2023,258,258,253.75,254.1,465528
ENGRO,7/20/2023,255.3,261.2,254,258.7,547952
ENGRO,7/21/2023,258.5,260.49,257,257.44,470248
ENGRO,7/24/2023,257.5,259,256.28,256.63,413657
ENGRO,7/25/2023,257.5,258.8,256,257.63,388468
ENGRO,7/26/2023,259.01,259.01,256.09,256.64,251652
ENGRO,7/27/2023,256.64,257.9,253.95,254.13,827598
ENGRO,7/31/2023,254.97,256.95,253.5,253.92,707439
ENGRO,8/1/2023,254.79,261.47,254.25,258.44,1325336
ENGRO,8/2/2023,258,269.85,258,264.69,1944189
ENGRO,8/3/2023,265.9,267.74,262.61,264.07,980915
ENGRO,8/4/2023,263.1,264.5,259.11,259.66,755409
ENGRO,8/7/2023,259.9,261.2,256.2,258.97,528668
ENGRO,8/8/2023,260,266,259.6,263.1,909115
ENGRO,8/9/2023,263.11,267.5,262,264.92,456664
ENGRO,8/10/2023,265.01,268.89,264.5,265.57,883914
ENGRO,8/11/2023,267.45,272.4,264.19,271.05,2209686
ENGRO,8/15/2023,272.5,275,271,272.82,1077568
ENGRO,8/16/2023,273.98,273.98,267.01,269.07,610456
ENGRO,8/17/2023,252.25,266,252.25,257.48,2861091
ENGRO,8/18/2023,258.95,260,256,256.6,451113
ENGRO,8/21/2023,256.53,256.9,252.7,253.9,361558
ENGRO,8/22/2023,252.99,254.5,252.1,252.96,160829
ENGRO,8/23/2023,253.97,254,251.46,252.89,209287
ENGRO,8/24/2023,254,259,254,255.18,884113
ENGRO,8/25/2023,254.75,258.48,253.18,257.66,983902
ENGRO,8/28/2023,258,258.11,255.52,257.76,665925
ENGRO,8/29/2023,255.8,258,252,255.06,412431
ENGRO,8/30/2023,255,258.4,252.8,253.29,958579
ENGRO,8/31/2023,253,255,236.52,246.15,668519
ENGRO,9/1/2023,247.88,249.89,245.53,246.14,221005
ENGRO,9/4/2023,246.99,254.94,246.99,253.22,757480
ENGRO,9/5/2023,253.95,254.49,251.05,254.09,181730
ENGRO,9/6/2023,254,254.74,251.75,253.99,208044
ENGRO,9/7/2023,252.98,256,252.1,255.49,339404
ENGRO,9/8/2023,255.75,260,253.01,253.62,630125
ENGRO,9/11/2023,253,255,248.8,249.12,271621
ENGRO,9/12/2023,248.05,251,247.8,248.06,100529
ENGRO,9/13/2023,248.65,248.74,245,247.07,62328
ENGRO,9/14/2023,246.71,248.15,246.7,247.01,58820
ENGRO,9/15/2023,247.89,249.5,246.31,247.08,369702
ENGRO,9/18/2023,247,247.93,244.8,245.85,267197
ENGRO,9/19/2023,246.9,247.1,246.01,246.49,83650
ENGRO,9/20/2023,246.49,247.05,245.25,245.65,114337
ENGRO,9/21/2023,247.98,247.98,245.5,246.2,171185
ENGRO,9/22/2023,246.75,246.9,240.5,244.52,294609
ENGRO,9/25/2023,245.02,245.99,242.75,243.02,196080
ENGRO,9/26/2023,244,244.99,241,241.2,167518
ENGRO,9/27/2023,242.49,242.49,239.24,240.25,303109
ENGRO,9/28/2023,241.7,242,238.05,240.14,509554
ENGRO,10/2/2023,243,249.6,243,247.69,959073
ENGRO,10/3/2023,248,255,248,253.22,761045
ENGRO,10/4/2023,253.01,254.65,250.11,251.83,904841
ENGRO,10/5/2023,251.79,253.6,250.66,252.38,694417
ENGRO,10/6/2023,252.9,254.5,252.4,254.26,334521
ENGRO,10/9/2023,253.95,254.75,252,254.21,333677
ENGRO,10/10/2023,254.9,256.89,254.2,256.56,498775
ENGRO,10/11/2023,256,264.19,256,261.61,1030564
ENGRO,10/12/2023,262.2,268.2,260.21,266.26,1129933
ENGRO,10/13/2023,266.1,275,264,269.41,999108
ENGRO,10/16/2023,268.5,269.64,266.5,267.21,1319468
ENGRO,10/17/2023,268,272.5,266.2,266.9,1869166
ENGRO,10/18/2023,265,268,264.32,266.13,206136
ENGRO,10/19/2023,265,282.5,265,279.19,1447460
ENGRO,10/20/2023,277,283.9,276.11,279.62,675117
ENGRO,10/23/2023,279.85,285.5,274.5,277.02,1089800
ENGRO,10/24/2023,272,274.48,270.11,272.88,631364
ENGRO,10/25/2023,271.11,275,268.15,268.85,329702
ENGRO,10/26/2023,269,271.75,269,269.85,250897
ENGRO,10/27/2023,269.11,271.1,269,270.08,231039
ENGRO,10/30/2023,271.99,274.9,270.29,272.38,477113
ENGRO,10/31/2023,272.7,291,271.1,281.26,1770965
ENGRO,11/1/2023,283,284.9,276.5,277.35,478311
ENGRO,11/2/2023,276.43,283.74,275,276.62,679465
ENGRO,11/3/2023,276.55,280,270,273.84,530933
ENGRO,11/6/2023,274.98,279.9,272,279.38,622860
ENGRO,11/7/2023,281.99,283.45,276.66,277.94,773899
ENGRO,11/8/2023,276.2,285,276.2,283.65,1736205
ENGRO,11/10/2023,283.01,293,283.01,288.85,1040537
ENGRO,11/13/2023,289,299,289,292.64,758563
ENGRO,11/14/2023,292.9,294.75,289,291.62,405891
ENGRO,11/15/2023,291.6,294.73,287.5,293.01,384577
ENGRO,11/16/2023,294,297.5,292.8,293.55,846310
ENGRO,11/17/2023,294.5,294.5,290,290.55,567579
ENGRO,11/20/2023,290.01,291.9,286.06,287.19,363862
ENGRO,11/21/2023,287,291.25,286,286.63,343079
ENGRO,11/22/2023,286.95,294.3,286.95,293.51,760312
ENGRO,11/23/2023,291.87,296.75,291.87,292.67,325609
ENGRO,11/24/2023,292.67,298,291.6,294.84,578090
ENGRO,11/27/2023,296,296.9,293.66,295.06,227718
ENGRO,11/28/2023,296,299.25,295.5,296.8,1012861
ENGRO,11/29/2023,297.01,302.88,297,298.89,1053268
ENGRO,11/30/2023,300,302.14,290.1,292,1429049
ENGRO,12/1/2023,293,305,292.2,303.65,1304389
ENGRO,12/4/2023,305.03,316.89,305.03,308.69,1732592
ENGRO,12/5/2023,309.75,313.5,304.5,307.97,693314
ENGRO,12/6/2023,309,313.55,309,312.35,783107
