Symbol,Date,Open,High,Low,Close,Volume
FFC,4/19/2023,99.76,100.49,99.5,100.32,68033
FFC,4/20/2023,100.75,101.25,99.86,100.94,160300
FFC,4/26/2023,101,102.06,100.8,101.82,413647
FFC,4/27/2023,101.99,103.58,101.5,102.79,1423698
FFC,4/28/2023,103,103.25,102.26,102.87,637672
FFC,5/2/2023,103,103.49,102.5,103.26,486320
FFC,5/3/2023,103.01,103.28,102.57,103.09,738401
FFC,5/4/2023,103.04,103.5,102.73,102.92,866028
FFC,5/5/2023,103,103.65,102.71,103.49,936593
FFC,5/8/2023,99.84,100.5,99.23,99.99,1067823
FFC,5/9/2023,100,100.1,99.2,99.6,477404
FFC,5/10/2023,99.29,99.8,99.1,99.36,777927
FFC,5/11/2023,99.99,102,99.36,99.86,348438
FFC,5/12/2023,99.99,100.25,99.5,100.05,324991
FFC,5/15/2023,100.5,101.5,100,101.49,397048
FFC,5/16/2023,101.9,102.35,101.5,102.01,506638
FFC,5/17/2023,102.34,103.3,102.1,103.1,1113551
FFC,5/18/2023,103.25,103.25,102.62,102.76,155388
FFC,5/19/2023,102.88,103,102.3,102.99,623447
FFC,5/22/2023,103,103,101.7,101.95,518258
FFC,5/23/2023,102.35,102.35,101.25,102.04,250964
FFC,5/24/2023,102.19,102.19,101.64,101.89,286190
FFC,5/25/2023,102,102.15,101.4,101.87,116352
FFC,5/26/2023,101.5,102.15,101.25,101.52,205854
FFC,5/29/2023,101.3,102.18,101.25,102.06,151348
FFC,5/30/2023,101.95,103.25,100.49,102.77,611480
FFC,5/31/2023,103,104.6,100.7,101.07,2002288
FFC,6/1/2023,101.5,101.85,101,101.06,360767
FFC,6/2/2023,101.5,102.05,101.02,101.79,279536
FFC,6/5/2023,101.2,102,101.2,101.35,458521
FFC,6/6/2023,101.52,101.99,101.4,101.7,67129
FFC,6/7/2023,101.98,101.98,101.39,101.52,193458
FFC,6/8/2023,101.59,101.59,101.07,101.31,271645
FFC,6/9/2023,100.91,101.59,100.8,100.95,351063
FFC,6/12/2023,100.5,101.18,100.5,100.84,83245
FFC,6/13/2023,101.1,101.1,100.4,100.61,140563
FFC,6/14/2023,101,101,99.39,99.9,290620
FFC,6/15/2023,100,100,98.4,98.55,371533
FFC,6/16/2023,98.1,99.29,98,98.48,382907
FFC,6/19/2023,98.4,98.8,95,97.63,388555
FFC,6/20/2023,97.3,98,96.55,97.51,269324
FFC,6/21/2023,97.3,98,96.56,96.77,348552
FFC,6/22/2023,97.25,97.5,96.55,96.81,167966
FFC,6/23/2023,97.25,98,96.55,96.83,558972
FFC,6/26/2023,96.72,99.75,96.72,99.4,696062
FFC,6/27/2023,99.46,99.75,98.35,98.44,164896
FFC,7/3/2023,100.5,102.9,100.5,101.38,1022901
FFC,7/4/2023,101.85,101.85,99.55,99.89,580921
FFC,7/5/2023,100,100.5,99.45,99.47,886747
FFC,7/6/2023,99.95,100,99,99.5,605561
FFC,7/7/2023,100,100.25,99.01,99.64,375410
FFC,7/10/2023,100.23,100.23,99.25,99.45,516440
FFC,7/11/2023,99.99,101,99.5,99.57,1336311
FFC,7/12/2023,99.95,100.05,99.13,99.66,728448
FFC,7/13/2023,99.8,100.5,99.4,99.55,699093
FFC,7/14/2023,99.51,100,99.4,99.72,444557
FFC,7/17/2023,99.81,99.97,98.82,99.67,422841
FFC,7/18/2023,99.9,100,99.1,99.36,326459
FFC,7/19/2023,99.88,99.9,99.2,99.47,229697
FFC,7/20/2023,99.86,100.25,99.35,99.98,481154
FFC,7/21/2023,100.39,100.5,99.61,100.06,527643
FFC,7/24/2023,100.05,100.06,99.8,99.85,262019
FFC,7/25/2023,100,101.25,99.98,100.33,1248274
FFC,7/26/2023,100.51,101.49,100.39,100.45,946895
FFC,7/27/2023,100.89,101.09,100.25,100.51,557568
FFC,7/31/2023,100.6,101.49,100.4,100.61,1070662
FFC,8/1/2023,101.05,101.24,100.8,100.99,851928
