Symbol,Date,Open,High,Low,Close,Volume
GATM,4/19/2023,16.74,16.74,16.5,16.58,24407
GATM,4/20/2023,16.62,16.92,16.51,16.87,168205
GATM,4/26/2023,16.33,17.04,16.33,16.7,82900
GATM,4/27/2023,16.75,16.83,16.54,16.62,160804
GATM,4/28/2023,16.63,16.71,16.58,16.65,295439
GATM,5/2/2023,16.67,16.98,16.62,16.8,178536
GATM,5/3/2023,16.98,17.25,16.67,16.74,290679
GATM,5/4/2023,17.02,17.37,16.55,16.89,508924
GATM,5/5/2023,17.07,17.08,16.68,16.78,112159
GATM,5/8/2023,17.16,17.17,16.47,16.57,355991
GATM,5/9/2023,16.67,16.67,15.97,16.5,240900
GATM,5/10/2023,16.09,16.65,16.09,16.37,149672
GATM,5/11/2023,16.37,16.44,16.25,16.39,87143
GATM,5/12/2023,16.29,16.66,16.25,16.44,281802
GATM,5/15/2023,16.64,16.64,16.23,16.4,149407
GATM,5/16/2023,16.58,16.67,16.24,16.37,1176622
GATM,5/17/2023,16.57,16.57,16.25,16.28,214799
GATM,5/18/2023,16.49,16.49,16.17,16.22,107200
GATM,5/19/2023,16.62,16.62,16.14,16.27,102125
GATM,5/22/2023,16.42,16.42,15.92,16.3,94171
GATM,5/23/2023,16.33,17.52,16.25,17.52,2743969
GATM,5/24/2023,18.04,18.84,18,18.84,850096
GATM,5/25/2023,20.26,20.26,18.76,19.11,12882281
GATM,5/26/2023,19.08,20.54,19.04,20.21,6269782
GATM,5/29/2023,20.17,21.4,20.09,20.78,5056227
GATM,5/30/2023,20.82,20.92,20.32,20.55,2006896
GATM,5/31/2023,20.5,20.66,19.01,19.05,3387472
GATM,6/1/2023,18.74,18.92,17.75,17.85,5780795
GATM,6/2/2023,17.93,18.68,17.69,18.2,3543127
GATM,6/5/2023,18.16,18.49,17.92,17.99,824892
GATM,6/6/2023,18.25,18.45,17.75,17.82,913791
GATM,6/7/2023,17.83,18.42,17.75,17.98,1262628
GATM,6/8/2023,18.08,18.68,18.08,18.3,2765762
GATM,6/9/2023,18.34,18.79,18.17,18.51,1792490
GATM,6/12/2023,18.39,19.19,17.92,18.15,3966302
GATM,6/13/2023,18.38,18.57,17.58,18.24,6862600
GATM,6/14/2023,18.46,18.46,17.92,17.98,951431
GATM,6/15/2023,17.95,18.2,17.67,17.72,728482
GATM,6/16/2023,17.77,18.21,17.65,17.83,1327521
GATM,6/19/2023,17.96,17.96,16.77,17.1,1545471
GATM,6/20/2023,17.3,17.6,17.2,17.32,452877
GATM,6/21/2023,17.45,17.5,17.3,17.35,116162
GATM,6/22/2023,17.4,17.48,17,17.08,140567
GATM,6/23/2023,17.2,17.2,16.66,16.76,1391177
GATM,6/26/2023,16.8,17.73,16.76,17.68,755440
GATM,6/27/2023,17.2,18,17.2,17.81,364354
GATM,7/3/2023,18.35,19.15,18.35,19.08,3532852
GATM,7/4/2023,19.1,19.13,18.3,18.43,1468669
GATM,7/5/2023,18.45,18.55,17.9,18.01,1161047
GATM,7/6/2023,18.06,18.25,17.75,17.91,1983322
GATM,7/7/2023,17.91,18.09,17.76,17.81,1064262
GATM,7/10/2023,17.99,18.7,17.98,18.53,3360936
GATM,7/11/2023,18.7,19.3,18.51,18.93,4732874
GATM,7/12/2023,18.99,19.18,18.76,18.93,970172
GATM,7/13/2023,19.05,19.3,18.6,18.63,952031
GATM,7/14/2023,18.7,18.7,18,18.17,3443578
GATM,7/17/2023,18.25,18.3,18,18.02,772439
GATM,7/18/2023,18,18.2,17.86,17.95,738945
