Symbol,Date,Open,High,Low,Close,Volume
HBL,4/19/2023,74.25,75.42,74.25,74.88,1087505
HBL,4/20/2023,74.87,76.5,74.66,75.51,1068917
HBL,4/26/2023,75,76.5,74.3,74.66,1410115
HBL,4/27/2023,75.3,75.3,73.51,73.99,2102744
HBL,4/28/2023,74.8,74.8,72.12,72.51,1504181
HBL,5/2/2023,73.9,77.94,73.9,77.94,6029192
HBL,5/3/2023,81.5,82.01,77.5,78.24,23530330
HBL,5/4/2023,78.25,79.01,77.25,77.81,4781142
HBL,5/5/2023,76.89,78.78,75.8,76.96,2692466
HBL,5/8/2023,77.01,77.79,76.01,76.43,2168371
HBL,5/9/2023,76.85,76.85,73,73.5,4802446
HBL,5/10/2023,73.5,73.99,71.36,71.84,2522826
HBL,5/11/2023,72.31,74.59,72.15,73.21,2009034
HBL,5/12/2023,73.2,73.67,72.35,72.89,1814440
HBL,5/15/2023,73,73.5,71.82,73.1,1434377
HBL,5/16/2023,73.9,73.9,72.5,73.69,4289687
HBL,5/17/2023,73.69,74.99,73.63,74.05,2857483
HBL,5/18/2023,74.05,74.48,72.8,73.04,990829
HBL,5/19/2023,73.4,73.4,72.7,73.09,1091821
HBL,5/22/2023,73,73.2,72.7,72.79,965778
HBL,5/23/2023,72.6,73.4,72.41,72.58,758419
HBL,5/24/2023,72.95,73.7,72.8,73.13,1057146
HBL,5/25/2023,73,73.45,72.49,72.53,1323502
HBL,5/26/2023,72.12,73,71.7,72.19,2197486
HBL,5/29/2023,72.9,72.9,71.6,72.18,3047216
HBL,5/30/2023,72.1,74.95,72.03,74.32,5905853
HBL,5/31/2023,73.2,75.1,72.75,73.49,2100421
HBL,6/1/2023,73.88,74,72.8,72.96,475369
HBL,6/2/2023,73.38,73.38,72,72.18,3159408
HBL,6/5/2023,72.7,72.73,71.7,71.99,601559
HBL,6/6/2023,72.01,72.3,71.15,71.67,2155824
HBL,6/7/2023,71.55,72.2,71.2,71.74,1216068
HBL,6/8/2023,71.9,72,70.29,70.51,650557
HBL,6/9/2023,70.8,70.8,69.1,69.85,1121869
HBL,6/12/2023,69.7,69.7,66,67.26,3481955
HBL,6/13/2023,67.49,68.19,67.49,67.66,315133
HBL,6/14/2023,68.33,69.9,67.71,68.51,2204042
HBL,6/15/2023,67.67,69.25,67.5,68.84,737148
HBL,6/16/2023,68.25,69.69,68.1,68.49,788930
HBL,6/19/2023,68.49,69.4,67.9,68.55,4276332
HBL,6/20/2023,69,69.47,67.98,68.08,1338108
HBL,6/21/2023,68.05,68.74,67.9,68.1,1615439
HBL,6/22/2023,68.1,69,66.83,67.85,1688972
HBL,6/23/2023,68,69.45,66.6,68.17,1719662
HBL,6/26/2023,69.02,70.49,69.02,69.93,2341449
HBL,6/27/2023,69.88,74.2,68.8,73.23,6688542
HBL,7/3/2023,78.5,78.72,76.75,78.63,6303547
HBL,7/4/2023,79.7,79.7,76.62,76.78,2601726
HBL,7/5/2023,77.35,78.48,76.5,77.79,1703209
HBL,7/6/2023,78.9,79.29,77.62,79.14,2958196
HBL,7/7/2023,79.16,79.7,78.33,79.05,1098658
HBL,7/10/2023,79.01,79.4,77.86,78.16,1306297
HBL,7/11/2023,78.4,79.9,77.85,79.34,3957277
HBL,7/12/2023,79.5,80.8,79.15,79.9,3194172
HBL,7/13/2023,80.44,81.25,78.9,79.41,4784952
HBL,7/14/2023,80,80,78.3,78.41,3772721
HBL,7/17/2023,78.41,79.69,78.04,78.41,3165527
HBL,7/18/2023,78.6,78.95,77.14,78.08,5530864
HBL,7/19/2023,78.68,79.11,77.7,78.08,3659248
HBL,7/20/2023,78.44,79.4,77.85,78.03,3842743
HBL,7/21/2023,78.39,79.75,78.04,79.05,8255291
HBL,7/24/2023,79.89,79.98,79.06,79.47,2161744
HBL,7/25/2023,79.1,85.43,79.1,85.43,12648860
HBL,7/26/2023,86.49,87,82.12,84.92,10322590
HBL,7/27/2023,84.5,91.29,84.5,90.77,11869540
HBL,7/31/2023,91.5,97.58,91.5,97.26,14673530
HBL,8/1/2023,96.94,98,95.01,96.65,6095517
HBL,8/2/2023,96.5,103.9,95.52,102.2,18677600
HBL,8/3/2023,104.98,107.8,104.6,105.24,12084310
HBL,8/4/2023,104,104.89,102.2,104.31,4067599
HBL,8/7/2023,104,105.7,103.1,103.93,3719995
HBL,8/8/2023,103.03,103.5,100.26,100.91,2947084
HBL,8/9/2023,100.75,104.3,100,103.28,3628129
HBL,8/10/2023,104,104.2,101,101.57,2293921
HBL,8/11/2023,102,105.5,101.72,102.43,11415130
HBL,8/15/2023,103,103.45,101.82,102.11,866453
HBL,8/16/2023,101.05,102.5,100.5,101.28,1007952
HBL,8/17/2023,100.2,101.8,99.95,101.33,1319849
HBL,8/18/2023,101.25,102.45,101.05,101.25,1530212
HBL,8/21/2023,100.19,101,98.01,98.56,1396037
HBL,8/22/2023,98.29,99.32,97.6,98.56,1901474
HBL,8/23/2023,99.4,100.5,97.5,99.79,4511576
HBL,8/24/2023,99.25,100.75,99.25,99.9,10046060
HBL,8/25/2023,99.5,100.1,99.4,99.77,1378150
HBL,8/28/2023,99.06,99.88,98.25,98.93,808711
HBL,8/29/2023,98,98.84,96.15,97.59,1417854
HBL,8/30/2023,97.6,98.25,95.35,97.87,2201296
HBL,8/31/2023,99,99,94,96.14,2999070
HBL,9/1/2023,96,96.9,94.1,95.87,913660
HBL,9/4/2023,97,98.99,95.5,96.31,347198
HBL,9/5/2023,96,98.5,96,97.65,1186285
HBL,9/6/2023,97.96,98.5,97.21,97.64,1227413
HBL,9/7/2023,98.47,98.5,97.1,97.48,1186121
HBL,9/8/2023,97.99,97.99,96.42,97.31,3200703
HBL,9/11/2023,97.5,98.4,96.3,96.77,2835937
HBL,9/12/2023,97,97.63,95.9,96.25,1456006
HBL,9/13/2023,96.3,96.6,95.75,95.86,893778
HBL,9/14/2023,96.65,96.65,95.45,95.79,1058498
HBL,9/15/2023,96.5,96.5,94.55,95.14,4841767
HBL,9/18/2023,95.97,96.5,94.95,95.55,889980
HBL,9/19/2023,96,96.75,95.5,96.02,1715578
HBL,9/20/2023,96.8,96.8,95.45,95.51,882935
HBL,9/21/2023,95.5,96.75,95.01,96.26,3144597
HBL,9/22/2023,96.5,96.69,95.76,96.28,1863813
HBL,9/25/2023,96.6,96.6,94.25,94.43,2349224
HBL,9/26/2023,94.35,94.35,92.02,92.48,2075200
HBL,9/27/2023,92,92.5,90.41,90.51,1839908
HBL,9/28/2023,90.98,90.99,89.7,90.44,1735704
HBL,10/2/2023,90.52,91.38,89.56,90.03,473314
HBL,10/3/2023,90,90.49,89.55,90.01,2027775
HBL,10/4/2023,90.11,95.6,90.11,95.13,6427190
HBL,10/5/2023,95.89,96.95,95.25,96.35,2769647
HBL,10/6/2023,96,96.84,94.55,94.93,1659892
HBL,10/9/2023,94.13,95.3,93,93.87,884303
HBL,10/10/2023,93.5,94.93,93.3,94.05,1548916
HBL,10/11/2023,94.05,94.9,93.81,94.75,1574495
HBL,10/12/2023,94.49,95.7,94.3,95.34,6603532
HBL,10/13/2023,96,98.1,95.55,97.19,4567050
HBL,10/16/2023,98.7,99.75,96.9,97.07,2261851
HBL,10/17/2023,97.49,97.95,95.8,96.03,893777
HBL,10/18/2023,95.99,96.9,94.85,95.17,564595
HBL,10/19/2023,95.5,99,95.1,98.24,3130496
HBL,10/20/2023,98.55,100.94,97.6,99.84,6108214
HBL,10/23/2023,101,101,99.13,99.34,1445805
HBL,10/24/2023,99.9,99.9,98.11,99.12,815048
HBL,10/25/2023,99.4,100.7,96.5,97.45,2706525
HBL,10/26/2023,97.75,98.68,95.8,96.02,1123703
HBL,10/27/2023,96.7,97.5,95.01,95.38,1515079
