Symbol,Date,Open,High,Low,Close,Volume
JLICL,4/19/2023,115,118,115,117.23,8100
JLICL,4/20/2023,116,118,114,116.93,9900
JLICL,4/26/2023,116.94,117,115,115,2300
JLICL,4/27/2023,114.5,114.5,114,114.5,7400
JLICL,4/28/2023,114.99,114.99,110.55,110.93,2100
JLICL,5/2/2023,110.3,113,110.1,110.68,8400
JLICL,5/3/2023,111.7,114.7,111.7,114.57,4500
JLICL,5/4/2023,115,115,114,114.06,1600
JLICL,5/5/2023,112,115,112,113.15,4500
JLICL,5/8/2023,112.1,113.01,110.51,110.88,3000
JLICL,5/9/2023,110.21,110.5,110.21,110.5,1700
JLICL,5/10/2023,109.5,109.5,107.1,108,9000
JLICL,5/11/2023,109.99,109.99,108.99,109,800
JLICL,5/12/2023,108.1,108.1,108,108,1200
JLICL,5/15/2023,108,109,107.1,108,100
JLICL,5/16/2023,107.5,107.55,107.5,107.5,6600
JLICL,5/17/2023,109.8,110,108.01,109.25,8100
JLICL,5/18/2023,109.7,109.7,107.75,108.4,300
JLICL,5/19/2023,108.99,110.44,108.1,109.51,700
JLICL,5/22/2023,108.7,108.7,106,106.69,4800
JLICL,5/23/2023,107.2,114.68,105.5,108.16,10100
JLICL,5/25/2023,106.1,106.1,106.1,108.16,300
JLICL,5/26/2023,107.99,109.01,106,106.2,52800
JLICL,5/29/2023,109.5,114.17,109.5,111.95,700
JLICL,5/30/2023,106.01,111.75,106,110.83,2200
JLICL,5/31/2023,113.28,113.28,110,110,2200
JLICL,6/1/2023,110,110.99,110,110.99,900
JLICL,6/2/2023,116.7,116.7,107.1,110.08,1500
JLICL,6/5/2023,110.9,111.75,110,111.31,600
JLICL,6/6/2023,110.99,112,110.01,111.2,3700
JLICL,6/7/2023,107.52,111.9,107.51,110.7,2400
JLICL,6/8/2023,115.9,115.9,109.1,109.48,5100
JLICL,6/9/2023,112.99,113,110.1,110.75,2900
JLICL,6/12/2023,117.95,117.95,114.48,115.5,2100
JLICL,6/13/2023,117.43,117.43,110,110.65,2700
JLICL,6/14/2023,115.8,115.8,107.1,112.71,36800
JLICL,6/15/2023,109.4,110.95,109,110.51,1100
JLICL,6/16/2023,105.01,112.6,105.01,110.51,200
JLICL,6/19/2023,117.17,117.17,117.17,117.17,600
JLICL,6/20/2023,111.9,111.99,111,111.08,6600
JLICL,6/21/2023,111.99,112.98,105.5,110,3700
JLICL,6/22/2023,111,111,107,107.07,1100
JLICL,6/23/2023,106,112.45,106,110.67,700
JLICL,6/26/2023,111.9,113.99,111.9,113.47,500
JLICL,7/3/2023,117.95,117.95,112,116.65,31400
JLICL,7/4/2023,115.94,115.94,111.01,113,2600
JLICL,7/5/2023,109.01,113.99,109.01,113.89,1600
JLICL,7/6/2023,113.95,113.95,113.95,113.95,300
JLICL,7/7/2023,122.25,122.25,109.6,111.1,2500
JLICL,7/10/2023,114.5,115.9,110.6,112.99,13000
JLICL,7/11/2023,107.25,114.95,105.11,110.89,24600
JLICL,7/12/2023,110.1,113.98,110.1,113.98,800
JLICL,7/13/2023,113,114,112,113.33,4700
JLICL,7/14/2023,113.65,113.9,111.01,113.03,8200
JLICL,7/17/2023,114.95,121.51,114,121.51,31000
JLICL,7/18/2023,128.9,130.62,123.7,129.88,36300
JLICL,7/19/2023,125,128,122.04,124.6,17800
JLICL,7/20/2023,120.62,121.01,120.62,121,1300
JLICL,7/21/2023,122.01,124.5,115.01,122,21100
JLICL,7/24/2023,123.56,127.5,122.2,125.79,8600
JLICL,7/25/2023,126,126,126,125.79,100
JLICL,7/26/2023,124.12,131,124.11,125.51,6000
JLICL,7/27/2023,126,128.5,126,126.94,4000
JLICL,7/31/2023,127,127,121,123.73,19100
JLICL,8/1/2023,124,127,122.5,123.45,25900
JLICL,8/2/2023,122.01,125.98,121,124.5,26600
JLICL,8/3/2023,126,126.15,121,125.36,54600
JLICL,8/4/2023,127,129,125.2,127.85,10300
JLICL,8/7/2023,127.5,132.01,127.2,129,7400
JLICL,8/8/2023,130,130,119.33,120.26,42300
JLICL,8/9/2023,120.95,122,120,122,9500
JLICL,8/10/2023,124,125,121.1,121.1,12900
JLICL,8/11/2023,127,127,112.1,115.36,33700
JLICL,8/15/2023,119.75,120,117,119.49,11400
JLICL,8/16/2023,118.01,119,115.02,115.36,9700
JLICL,8/17/2023,119,119,118.74,115.36,200
JLICL,8/18/2023,115,115.5,113,113.56,2700
JLICL,8/21/2023,113.65,115.43,113.65,114.84,800
JLICL,8/22/2023,114,114,114,114,1600
JLICL,8/24/2023,115.21,116.9,112.5,113.42,7000
JLICL,8/25/2023,112,112,110,110,11600
JLICL,8/28/2023,108,108,101.75,102.61,26300
