Symbol,Date,Open,High,Low,Close,Volume
MEBL,4/19/2023,98.8,99,97.36,98.1,1145741
MEBL,4/20/2023,98.1,99.5,97.26,99.22,3552523
MEBL,4/26/2023,99.53,100.25,98.45,98.78,1822724
MEBL,4/27/2023,95.96,98,95.78,97.62,827836
MEBL,4/28/2023,98,99.6,97.17,99.31,2062197
MEBL,5/2/2023,98.98,99.6,98.12,98.5,900249
MEBL,5/3/2023,98.5,99,97.99,98.01,548179
MEBL,5/4/2023,98.01,99.2,98.01,98.44,2849011
MEBL,5/5/2023,98.8,98.8,97.95,98.33,303945
MEBL,5/8/2023,98.33,98.8,97.3,97.95,360532
MEBL,5/9/2023,98.47,98.47,95.1,95.99,869007
MEBL,5/10/2023,95.55,96,94.16,94.79,357456
MEBL,5/11/2023,96.75,96.89,93.85,94.11,506590
MEBL,5/12/2023,94.8,95,93.9,94.09,301935
MEBL,5/15/2023,94.5,94.5,93.5,93.73,276205
MEBL,5/16/2023,94,94.51,93.1,93.6,1028458
MEBL,5/17/2023,94.34,94.34,92.99,93.07,707288
MEBL,5/18/2023,93.5,93.5,92.4,92.52,319829
MEBL,5/19/2023,92.5,93.18,92,92.97,145597
MEBL,5/22/2023,93.55,94.34,91.41,91.53,350264
MEBL,5/23/2023,92.6,92.6,90.99,91.04,839154
MEBL,5/24/2023,91,92.21,91,91.37,238972
MEBL,5/25/2023,91.25,93,91,91.05,204868
MEBL,5/26/2023,91.25,91.5,89.9,90.01,668107
MEBL,5/29/2023,90.5,91.49,89.7,89.97,1031742
MEBL,5/30/2023,90,90.5,89.75,90.16,608374
MEBL,5/31/2023,90.5,90.89,88.61,88.91,394717
MEBL,6/1/2023,89.5,89.98,87.95,88,502721
MEBL,6/2/2023,88,88.29,87,87.44,719054
MEBL,6/5/2023,87.44,90.3,87.15,88.83,1475068
MEBL,6/6/2023,89.01,90,88.4,88.51,743526
MEBL,6/7/2023,88.99,89.25,87.3,87.49,739831
MEBL,6/8/2023,88,88,86.15,86.29,830018
MEBL,6/9/2023,86.29,86.99,86,86.09,597755
MEBL,6/12/2023,86.09,86.78,84.5,85.01,2312352
MEBL,6/13/2023,85.85,87.6,85.5,86.07,706924
MEBL,6/14/2023,86.76,87.9,86.3,87.56,794049
MEBL,6/15/2023,88,88.5,86.92,87.03,670411
MEBL,6/16/2023,87.45,87.45,85.01,85.72,1079559
MEBL,6/19/2023,86.5,86.5,82.5,82.96,1698074
MEBL,6/20/2023,82.8,84.4,82.8,83.72,831538
MEBL,6/21/2023,83.75,84.24,82.8,83.27,577146
MEBL,6/22/2023,82.42,83.94,82.42,83.33,93816
MEBL,6/23/2023,82.7,83.7,82.7,82.99,225761
MEBL,6/26/2023,84,87.1,83.5,86.87,1585797
MEBL,6/27/2023,87,88.49,85,86.37,1988931
MEBL,7/3/2023,92.85,92.85,92.85,92.85,1280696
MEBL,7/4/2023,99,99,94.01,96.43,7229734
MEBL,7/5/2023,96.97,98.9,95.51,97.19,1813009
MEBL,7/6/2023,96.57,99.61,96,98.99,2716543
MEBL,7/7/2023,97.31,99.89,97.31,98.43,563674
MEBL,7/10/2023,97.25,98.95,97.25,98.5,552268
MEBL,7/11/2023,98.02,104.9,98.02,103.6,2768436
MEBL,7/12/2023,105,111.07,105,110.47,5297599
MEBL,7/13/2023,110.95,113.53,108.62,109.42,3276575
MEBL,7/14/2023,109,112.5,109,111.59,1920209
