Symbol,Date,Open,High,Low,Close,Volume
NESTLE,4/19/2023,"5,200.00","5,350.00","5,110.00","5,197.17",980
NESTLE,4/20/2023,"5,298.07","5,298.08","5,200.00","5,200.00",60
NESTLE,4/27/2023,"5,200.10","5,400.00","5,200.00","5,333.98",380
NESTLE,4/28/2023,"5,300.00","5,305.00","5,271.00","5,274.33",240
NESTLE,5/2/2023,"5,280.00","5,400.00","5,230.00","5,260.01",440
NESTLE,5/3/2023,"5,300.00","5,300.00","5,260.01","5,285.01",60
NESTLE,5/4/2023,"5,681.00","5,681.38","5,420.00","5,681.38",740
NESTLE,5/5/2023,"5,650.00","5,890.00","5,650.00","5,890.00",260
NESTLE,5/8/2023,"5,700.00","5,890.00","5,450.20","5,776.72",800
NESTLE,5/10/2023,"5,750.00","5,800.00","5,750.00","5,800.00",80
NESTLE,5/11/2023,"5,790.00","5,790.00","5,700.00","5,700.00",40
NESTLE,5/12/2023,"5,800.00","5,800.00","5,800.00","5,800.00",100
NESTLE,5/15/2023,"5,799.90","5,800.00","5,799.90","5,800.00",400
NESTLE,5/16/2023,"5,800.00","5,800.00","5,799.99","5,799.99",120
NESTLE,5/17/2023,"5,799.99","6,000.00","5,799.99","5,950.00",460
NESTLE,5/18/2023,"6,000.00","6,250.00","6,000.00","6,250.00",600
NESTLE,5/19/2023,"6,200.00","6,450.00","6,200.00","6,416.25",340
NESTLE,5/22/2023,"6,416.25","6,638.00","6,300.00","6,586.67",1060
NESTLE,5/23/2023,"6,500.00","6,501.01","6,500.00","6,500.00",180
NESTLE,5/24/2023,"6,500.00","6,750.00","6,500.00","6,700.00",320
NESTLE,5/25/2023,"6,699.99","6,800.00","6,699.99","6,700.00",360
NESTLE,5/26/2023,"6,702.00","6,702.00","6,702.00","6,702.00",40
NESTLE,5/29/2023,"6,720.00","6,720.00","6,525.00","6,560.00",300
NESTLE,5/30/2023,"6,949.00","6,949.00","6,890.00","6,890.00",40
NESTLE,6/1/2023,"6,500.00","6,551.00","6,500.00","6,540.00",320
NESTLE,6/5/2023,"6,490.00","6,490.00","6,320.00","6,489.98",60
NESTLE,6/7/2023,"6,450.01","6,500.00","6,450.00","6,500.00",380
NESTLE,6/8/2023,"6,600.00","6,600.00","6,500.00","6,600.00",100
NESTLE,6/9/2023,"6,300.61","6,450.00","6,300.61","6,450.00",40
NESTLE,6/12/2023,"6,933.75","6,933.75","6,885.00","6,890.00",180
NESTLE,6/14/2023,"6,374.00","6,550.00","6,374.00","6,550.00",140
NESTLE,6/16/2023,"6,550.00","6,888.00","6,500.00","6,550.00",80
NESTLE,6/20/2023,"6,550.00","6,650.00","6,550.00","6,650.00",40
NESTLE,6/22/2023,"6,255.00","6,640.00","6,255.00","6,447.50",40
NESTLE,7/3/2023,"6,411.01","6,649.99","6,411.01","6,600.00",80
NESTLE,7/4/2023,"6,400.35","6,450.00","6,400.00","6,450.00",280
NESTLE,7/6/2023,"6,455.00","6,455.00","6,455.00","6,455.00",20
NESTLE,7/10/2023,"6,336.01","6,690.00","6,336.01","6,675.00",80
NESTLE,7/11/2023,"6,574.00","6,735.54","6,425.11","6,730.00",140
NESTLE,7/12/2023,"6,700.00","6,750.00","6,700.00","6,750.00",80
NESTLE,7/13/2023,"6,501.01","6,898.00","6,501.00","6,700.00",100
NESTLE,7/18/2023,"6,511.01","6,700.00","6,500.00","6,700.00",120
NESTLE,7/19/2023,"6,800.00","6,800.00","6,799.00","6,800.00",180
NESTLE,7/20/2023,"6,780.00","6,780.00","6,700.00","6,700.00",140
NESTLE,7/24/2023,"6,900.00","6,900.00","6,800.00","6,800.00",40
NESTLE,7/25/2023,"6,800.00","6,850.00","6,800.00","6,804.55",640
NESTLE,7/26/2023,"6,802.00","6,802.00","6,800.00","6,800.00",300
NESTLE,7/27/2023,"6,600.00","6,900.00","6,600.00","6,890.00",180
NESTLE,7/31/2023,"6,995.00","7,010.00","6,855.00","6,950.00",1180
NESTLE,8/1/2023,"6,999.00","7,010.00","6,950.00","7,000.00",2180
NESTLE,8/2/2023,"7,000.00","7,200.00","6,999.99","7,150.00",3120
NESTLE,8/3/2023,"7,100.01","7,160.00","7,070.00","7,070.00",420
NESTLE,8/4/2023,"7,070.00","7,100.00","7,070.00","7,099.33",160
NESTLE,8/7/2023,"7,100.00","7,100.00","6,900.00","7,070.00",180
NESTLE,8/8/2023,"7,000.00","7,001.00","6,999.99","6,999.99",1520
NESTLE,8/9/2023,"7,000.00","7,000.50","6,999.00","6,999.97",560
NESTLE,8/10/2023,"7,099.00","7,100.00","7,010.00","7,095.15",2300
NESTLE,8/11/2023,"7,180.00","7,200.00","7,180.00","7,181.00",500
NESTLE,8/15/2023,"7,200.00","7,300.00","7,200.00","7,299.00",1040
NESTLE,8/16/2023,"7,300.00","7,300.01","7,300.00","7,300.00",120
NESTLE,8/17/2023,"7,300.01","7,400.00","7,300.00","7,300.00",940
NESTLE,8/18/2023,"7,300.00","7,400.00","7,300.00","7,400.00",1120
NESTLE,8/21/2023,"7,200.00","7,200.00","7,200.00","7,200.00",360
NESTLE,8/22/2023,"7,010.01","7,200.00","7,010.01","7,200.00",320
NESTLE,8/24/2023,"7,150.00","7,150.00","7,000.00","7,097.83",480
NESTLE,8/25/2023,"7,100.00","7,150.00","7,100.00","7,100.00",120
NESTLE,8/30/2023,"7,100.01","7,100.01","7,098.99","7,099.38",1460
NESTLE,8/31/2023,"7,100.00","7,100.00","6,911.00","6,911.00",2720
NESTLE,9/1/2023,"7,000.00","7,000.00","7,000.00","7,000.00",1360
NESTLE,9/4/2023,"7,000.00","7,000.00","7,000.00","7,000.00",20
NESTLE,9/5/2023,"7,000.00","7,000.00","7,000.00","7,000.00",40
NESTLE,9/6/2023,"7,000.00","7,000.00","7,000.00","7,000.00",440
NESTLE,9/8/2023,"7,100.00","7,100.00","7,100.00","7,100.00",580
NESTLE,9/11/2023,"6,725.00","7,100.00","6,700.11","7,100.00",580
NESTLE,9/13/2023,"7,100.00","7,100.00","7,100.00","7,100.00",20
NESTLE,9/14/2023,"7,015.00","7,015.00","7,015.00","7,015.00",200
NESTLE,9/15/2023,"6,900.01","7,090.00","6,900.00","7,022.50",700
NESTLE,9/18/2023,"7,000.00","7,000.00","7,000.00","7,000.00",20
NESTLE,9/19/2023,"7,099.00","7,100.00","7,099.00","7,100.00",460
NESTLE,9/20/2023,"6,980.00","7,100.00","6,980.00","7,093.67",140
NESTLE,9/21/2023,"7,100.00","7,100.00","7,090.00","7,090.00",100
NESTLE,9/22/2023,"7,000.00","7,000.00","7,000.00","7,000.00",460
NESTLE,9/25/2023,"7,000.00","7,089.00","6,955.00","7,000.00",1500
NESTLE,9/26/2023,"7,190.00","7,190.00","7,190.00","7,190.00",20
NESTLE,9/27/2023,"7,099.50","7,200.00","7,000.00","7,142.79",420
NESTLE,9/28/2023,"7,100.00","7,100.00","7,100.00","7,100.00",40
NESTLE,10/2/2023,"7,100.00","7,100.00","7,100.00","7,100.00",160
NESTLE,10/3/2023,"7,100.00","7,100.00","7,100.00","7,100.00",100
NESTLE,10/4/2023,"7,100.00","7,100.00","7,100.00","7,100.00",420
NESTLE,10/5/2023,"7,070.00","7,100.00","7,070.00","7,100.00",1100
NESTLE,10/6/2023,"7,100.00","7,100.00","7,100.00","7,100.00",20
NESTLE,10/9/2023,"7,100.00","7,100.00","7,015.00","7,100.00",600
NESTLE,10/10/2023,"7,100.00","7,100.00","7,000.00","7,000.00",700
NESTLE,10/11/2023,"7,099.00","7,200.00","7,090.00","7,141.11",720
NESTLE,10/13/2023,"7,198.00","7,198.00","7,198.00","7,198.00",140
NESTLE,10/16/2023,"7,200.00","7,301.00","7,200.00","7,300.00",1080
NESTLE,10/17/2023,"7,230.00","7,350.00","7,230.00","7,312.41",1620
NESTLE,10/18/2023,"7,350.00","7,400.00","7,300.00","7,300.00",820
NESTLE,10/19/2023,"7,313.81","7,500.00","7,300.00","7,390.00",2560
NESTLE,10/20/2023,"7,200.00","7,200.00","7,200.00","7,200.00",20
NESTLE,10/23/2023,"7,200.00","7,200.00","7,200.00","7,200.00",40
NESTLE,10/24/2023,"7,190.00","7,299.99","7,190.00","7,200.00",320
NESTLE,10/25/2023,"7,200.00","7,300.00","7,199.00","7,300.00",840
NESTLE,10/26/2023,"7,201.01","7,299.99","7,201.00","7,299.99",60
NESTLE,10/27/2023,"7,200.00","7,200.00","7,125.00","7,125.00",120
NESTLE,10/30/2023,"7,220.00","7,220.00","7,210.00","7,210.00",120
NESTLE,11/1/2023,"7,200.00","7,200.00","7,200.00","7,200.00",680
NESTLE,11/2/2023,"7,200.00","7,200.00","7,200.00","7,200.00",20
NESTLE,11/3/2023,"7,220.00","7,300.00","7,220.00","7,300.00",220
NESTLE,11/6/2023,"7,100.00","7,300.00","7,100.00","7,300.00",380
NESTLE,11/7/2023,"7,220.00","7,300.00","7,220.00","7,300.00",40
NESTLE,11/8/2023,"7,413.00","7,413.00","7,300.00","7,300.00",220
