Symbol,Date,Open,High,Low,Close,Volume
PRL,4/19/2023,12.31,12.75,12.31,12.55,2497386
PRL,4/20/2023,12.65,13.55,12.49,13.52,11539530
PRL,4/26/2023,13.9,14.39,13.76,14.22,16012170
PRL,4/27/2023,14.19,14.25,13.82,13.91,6884986
PRL,4/28/2023,13.86,14.95,13.86,14.68,22176199
PRL,5/2/2023,14.58,14.58,14.18,14.26,7163884
PRL,5/3/2023,14.25,14.35,13.8,13.91,8542194
PRL,5/4/2023,13.91,14.24,13.81,14,4407502
PRL,5/5/2023,13.9,14.1,13.85,14,1194615
PRL,5/8/2023,14.01,14.64,14.01,14.16,11367780
PRL,5/9/2023,14.16,14.17,13.53,13.87,4824902
PRL,5/10/2023,13.63,14,13.53,13.63,1541839
PRL,5/11/2023,13.65,14.01,13.65,13.86,2205332
PRL,5/12/2023,13.96,14.19,13.81,13.88,2329070
PRL,5/15/2023,13.72,13.78,13.56,13.69,1339225
PRL,5/16/2023,13.8,14,13.76,13.83,1144273
PRL,5/17/2023,13.85,13.94,13.7,13.79,1492862
PRL,5/18/2023,14,14.35,13.9,13.96,7526334
PRL,5/19/2023,13.96,14.08,13.7,13.83,2934030
PRL,5/22/2023,13.99,13.99,13.66,13.69,939525
PRL,5/23/2023,13.7,13.9,13.62,13.69,1536342
PRL,5/24/2023,13.85,14.03,13.71,13.77,2665354
PRL,5/25/2023,14,14.45,13.92,14.1,8370529
PRL,5/26/2023,14.16,14.31,13.9,13.96,4312807
PRL,5/29/2023,13.8,14.18,13.8,13.9,4364495
PRL,5/30/2023,13.99,14.25,13.93,14.15,2160354
PRL,5/31/2023,14.1,14.34,13.96,14.01,1939279
PRL,6/1/2023,14,14.29,13.95,14.22,4031577
PRL,6/2/2023,14.27,14.28,14.03,14.06,1070343
PRL,6/5/2023,14.05,14.45,14.05,14.36,5738026
PRL,6/6/2023,14.5,15.29,14.36,15.06,20519211
PRL,6/7/2023,15.2,15.3,14.73,14.79,11614230
PRL,6/8/2023,14.85,15.04,14.41,14.47,9600621
PRL,6/9/2023,14.5,14.55,14.35,14.45,1740428
PRL,6/12/2023,15,15.2,14.61,14.67,10796480
PRL,6/13/2023,14.64,14.85,14.38,14.51,6148570
PRL,6/14/2023,14.5,14.68,14.18,14.22,3592139
PRL,6/15/2023,14.25,14.45,14.11,14.25,3324031
PRL,6/16/2023,14.24,14.4,14.11,14.14,1574847
PRL,6/19/2023,14.2,14.23,13.71,13.93,4088360
PRL,6/20/2023,13.77,13.92,13.65,13.72,1822469
PRL,6/21/2023,13.85,13.86,13.2,13.39,992910
PRL,6/22/2023,13.38,13.45,13.2,13.36,1270424
PRL,6/23/2023,13.35,13.6,13.03,13.16,2268473
PRL,6/26/2023,13.19,13.86,13.19,13.69,4886457
PRL,6/27/2023,13.69,13.82,13.5,13.56,3267734
PRL,7/3/2023,14.58,14.58,14.28,14.58,7696362
PRL,7/4/2023,14.6,15.67,14.3,15.31,44181352
PRL,7/5/2023,15.45,16.34,15.4,15.75,27316500
PRL,7/6/2023,15.65,15.9,15.35,15.63,8162151
PRL,7/7/2023,15.89,16.09,15.39,15.88,6684815
PRL,7/10/2023,15.61,16.67,15.61,16.28,17998221
PRL,7/11/2023,16.3,17.44,16.1,16.95,31421270
PRL,7/12/2023,17,17.56,17,17.15,18150801
PRL,7/13/2023,17.4,17.79,17.15,17.21,16554949
PRL,7/14/2023,17.05,17.31,16.85,16.92,5882358
PRL,7/17/2023,17.12,17.45,16.95,17.03,8990937
PRL,7/18/2023,16.91,17,16.42,16.64,7446808
PRL,7/19/2023,16.6,16.9,16.15,16.26,8254232
PRL,7/20/2023,16.2,16.64,16.11,16.44,5724816
PRL,7/21/2023,16.41,16.81,16.4,16.5,3434228
PRL,7/24/2023,16.78,16.78,16.26,16.6,8884571
PRL,7/25/2023,16.6,16.87,16.55,16.63,4847694
PRL,7/26/2023,16.72,17.2,16.48,16.93,18394801
PRL,7/27/2023,17,17.19,16.76,16.92,10231980
PRL,7/31/2023,17.1,17.39,16.96,17.22,15010970
PRL,8/1/2023,17.4,18.25,17.26,17.76,31788680
PRL,8/2/2023,17.75,18.6,17.55,18.4,31345359
PRL,8/3/2023,18.5,18.66,17.63,17.76,18483020
PRL,8/4/2023,17.8,18.7,17.41,18.58,25888160
PRL,8/7/2023,18.8,19.19,17.6,18.01,35710770
PRL,8/8/2023,18.17,18.17,16.66,16.77,18583391
PRL,8/9/2023,16.8,17.21,16.59,17.08,12409710
PRL,8/10/2023,17.2,17.52,16.11,16.63,13524690
PRL,8/11/2023,16.8,17.05,16.56,16.67,5000906
PRL,8/15/2023,16.7,16.95,16.5,16.62,4849289
PRL,8/16/2023,16.7,16.79,16.06,16.17,3366215
PRL,8/17/2023,16.44,16.79,15.8,16.71,12576000
PRL,8/18/2023,16.89,17.03,16.03,16.21,11235170
PRL,8/21/2023,16.06,16.29,15.52,15.64,6214957
PRL,8/22/2023,15.64,15.77,15.5,15.62,1685124
PRL,8/23/2023,15.55,15.82,15.41,15.7,5808434
PRL,8/24/2023,15.8,15.98,15.55,15.6,3527785
PRL,8/25/2023,15.7,15.7,15.11,15.41,3631249
PRL,8/28/2023,15.48,15.58,15.17,15.26,3163070
PRL,8/29/2023,15.3,15.33,14.79,15.03,3303674
PRL,8/30/2023,15.15,15.17,14.41,14.54,2624247
PRL,8/31/2023,14.54,14.6,13.45,13.55,12292250
PRL,9/1/2023,13.8,13.9,13.35,13.73,4158283
PRL,9/4/2023,13.86,14.55,13.75,14.45,6732930
PRL,9/5/2023,15,15,14.21,14.31,4725209
PRL,9/6/2023,14.31,14.77,14.15,14.71,3272731
PRL,9/7/2023,14.8,15.03,14.53,14.61,4200604
PRL,9/8/2023,14.68,14.84,14.47,14.61,3046891
PRL,9/11/2023,14.66,14.78,14.36,14.51,1566203
PRL,9/12/2023,14.49,14.49,14.24,14.27,1400523
PRL,9/13/2023,14.38,14.5,14.14,14.21,1700774
PRL,9/14/2023,14.16,14.33,14.15,14.2,1015883
PRL,9/15/2023,14.66,14.91,14.26,14.33,2854178
PRL,9/18/2023,14.5,15.11,14.29,14.78,7869080
PRL,9/19/2023,14.99,15.08,14.65,14.96,4465115
PRL,9/20/2023,15.14,15.14,14.78,14.81,1120181
PRL,9/21/2023,14.8,15.2,14.72,15.07,1688188
PRL,9/22/2023,15.2,15.39,15.1,15.21,4160774
PRL,9/25/2023,15.3,15.36,15.02,15.24,3309704
PRL,9/26/2023,15.31,15.77,15.08,15.43,8249804
PRL,9/27/2023,15.45,15.56,15.25,15.29,2362126
PRL,9/28/2023,15.39,15.44,15.14,15.22,3105098
PRL,10/2/2023,15.19,15.52,15.19,15.43,3199137
PRL,10/3/2023,15.5,15.8,15.5,15.59,5287550
PRL,10/4/2023,15.64,16.07,15.59,15.89,12978330
PRL,10/5/2023,15.92,16,15.65,15.7,2531957
PRL,10/6/2023,15.74,15.8,15.6,15.68,1297059
PRL,10/9/2023,15.49,15.85,15.49,15.76,2696951
PRL,10/10/2023,15.94,16.68,15.72,16.43,26344119
PRL,10/11/2023,16.65,17.05,16.4,16.46,18138699
PRL,10/12/2023,16.46,16.62,16.06,16.23,11579940
PRL,10/13/2023,16.34,16.39,16,16.09,9494821
PRL,10/16/2023,16.3,16.48,15.87,16.33,8273732
PRL,10/17/2023,16.26,16.53,16.08,16.15,5508812
PRL,10/18/2023,16.2,17.36,16.19,16.87,75718039
PRL,10/19/2023,17.1,17.58,16.92,17.47,37666820
PRL,10/20/2023,17.8,18.67,17.6,18.13,42467379
PRL,10/23/2023,18.3,18.5,18,18.16,15395890
PRL,10/24/2023,18.27,18.88,18.11,18.64,33555434
PRL,10/25/2023,18.74,18.88,18.52,18.64,12845060
PRL,10/26/2023,18.76,18.88,18.2,18.26,6685946
PRL,10/27/2023,18.45,18.5,18.11,18.35,8154284
PRL,10/30/2023,18.47,19.56,18.35,19.3,32398721
