Symbol,Date,Open,High,Low,Close,Volume
PSO,4/19/2023,114.9,115,114.22,114.55,105951
PSO,4/20/2023,114.5,115.5,114.4,115.39,243156
PSO,4/26/2023,115.61,116.75,114.91,115.22,515233
PSO,4/27/2023,115.5,117.7,115.05,115.47,799734
PSO,4/28/2023,116,116.5,114.78,115.01,478990
PSO,5/2/2023,115.5,115.55,114.3,114.56,465172
PSO,5/3/2023,114.9,116.32,114.35,115.02,688712
PSO,5/4/2023,115.01,115.66,113.5,113.99,445152
PSO,5/5/2023,114,115.25,113.8,113.96,380686
PSO,5/8/2023,114.01,114.6,112.55,112.73,417587
PSO,5/9/2023,113,113,110.01,110.57,616093
PSO,5/10/2023,109.76,111.25,109,110.05,436532
PSO,5/11/2023,110,111.25,110,110.15,189663
PSO,5/12/2023,110.99,111.35,110.25,110.86,324202
PSO,5/15/2023,110.86,112,110,111.65,422011
PSO,5/16/2023,112,113.25,112,112.29,525880
PSO,5/17/2023,112.99,112.99,111.3,111.52,462078
PSO,5/18/2023,112.4,112.4,109.7,110.01,514145
PSO,5/19/2023,110.86,110.9,109.5,110.37,115315
PSO,5/22/2023,110.86,111,109.5,109.72,299246
PSO,5/23/2023,110.64,110.64,107.81,108.01,507842
PSO,5/24/2023,108.84,108.84,105.8,106,572137
PSO,5/25/2023,106.5,106.54,104.95,105.72,674571
PSO,5/26/2023,105.2,105.89,100.02,101.42,1577724
PSO,5/29/2023,101.65,103.2,100.09,100.45,1157790
PSO,5/30/2023,101.05,101.87,100.61,101.27,621989
PSO,5/31/2023,101,101.99,98.8,99.16,976256
PSO,6/1/2023,99.51,100.75,99.01,99.17,334034
PSO,6/2/2023,99.98,99.98,98.95,99.03,369329
PSO,6/5/2023,99.7,106.46,99.7,106.46,2207749
PSO,6/6/2023,108.26,114.44,108.25,112.66,6852097
PSO,6/7/2023,112.8,115.25,110.7,114.54,3843557
PSO,6/8/2023,114.54,115.45,110.2,111.14,2074762
PSO,6/9/2023,112,114.3,111,113.37,2022279
PSO,6/12/2023,113.8,113.8,111.25,111.7,605642
PSO,6/13/2023,110.53,114.09,110.53,112.38,1124990
PSO,6/14/2023,113,113.99,110.8,111.13,943823
PSO,6/15/2023,111.5,113,110.8,111.2,404820
PSO,6/16/2023,111.48,111.48,108.02,108.68,757660
PSO,6/19/2023,108.5,109.5,105,105.37,626203
PSO,6/20/2023,105.51,107.5,103.8,106.43,1331743
PSO,6/21/2023,106.75,107.2,103,103.49,589780
PSO,6/22/2023,104.86,104.86,101.2,101.62,373750
PSO,6/23/2023,101.62,102.45,99.75,101.33,841044
PSO,6/26/2023,104,108.93,104,108.56,3181164
PSO,6/27/2023,108.57,111.85,107.75,111.01,4719530
PSO,7/3/2023,119.34,119.34,119.34,119.34,1519143
PSO,7/4/2023,122,122,117.5,118.95,6679910
PSO,7/5/2023,118.5,123.44,118.5,120.5,6666234
PSO,7/6/2023,123,124.88,122,123.35,5666209
PSO,7/7/2023,123.3,124.35,121.99,122.29,1772243
PSO,7/10/2023,122.9,125.7,122.06,124.24,5777349
PSO,7/11/2023,124.75,126,123.75,124.43,2961875
PSO,7/12/2023,125.5,125.78,123,124.22,2410754
PSO,7/13/2023,125.29,126.1,123.26,123.63,2938904
PSO,7/14/2023,123.99,124,121.3,121.64,1154745
PSO,7/17/2023,122,122.6,120,120.54,1542745
PSO,7/18/2023,121,121,116.8,117.29,1430652
PSO,7/19/2023,117.3,119.5,116.25,118.22,2255982
PSO,7/20/2023,119.49,120.9,118.4,120.29,2276223
PSO,7/21/2023,120.9,121.41,119,119.68,1516207
PSO,7/24/2023,119.89,120.97,119.1,119.99,1061366
PSO,7/25/2023,120.27,122.1,119.8,121.38,2307977
PSO,7/26/2023,121.7,125.3,121.7,124.56,4033582
PSO,7/27/2023,125.99,133.5,124.5,131,11214090
PSO,7/31/2023,135.99,139.38,135.12,137.47,5836326
PSO,8/1/2023,138.25,138.95,132.5,134.9,4265786
PSO,8/2/2023,134.9,136.8,133.2,135.45,3063830
PSO,8/3/2023,135.5,136,131.51,132.21,2600290
PSO,8/4/2023,130.5,134.5,130.11,133.68,2799533
PSO,8/7/2023,135,136,128.52,130.09,2219136
PSO,8/8/2023,129.1,129.5,120.33,120.76,2909062
PSO,8/9/2023,119,127.87,118.99,125.76,3893284
PSO,8/10/2023,126.5,129,121.1,123.11,3156691
PSO,8/11/2023,121.3,128.49,121.3,124.85,5177006
PSO,8/15/2023,125,126,124.25,124.67,772074
PSO,8/16/2023,125.3,125.5,121.82,122.08,1256102
PSO,8/17/2023,121.5,123.5,121.1,123.09,1067859
PSO,8/18/2023,123.5,125.95,122.5,122.75,1378377
PSO,8/21/2023,121,122.99,119.65,119.98,923242
PSO,8/22/2023,120,122.4,120,121.16,1529047
PSO,8/23/2023,121.2,123.8,116.61,122.95,6788187
PSO,8/24/2023,123.51,123.9,122.51,123.55,4421153
PSO,8/25/2023,123.3,123.92,121.9,122.55,1340492
PSO,8/28/2023,121.75,122.5,120.11,120.61,672275
PSO,8/29/2023,120.05,121,117.8,118.86,1186554
PSO,8/30/2023,118.06,119.95,114.7,115.98,1691122
PSO,8/31/2023,116,116.73,108,109.96,3272895
PSO,9/1/2023,110,112.5,109.22,111.02,1297165
PSO,9/4/2023,112,114.87,112,114.08,1116384
PSO,9/5/2023,114.5,115.01,112.01,112.32,541157
PSO,9/6/2023,113.35,114.1,111.52,113.86,526564
PSO,9/7/2023,114.5,118.5,114.5,116.89,2718676
PSO,9/8/2023,117.4,118.25,116.75,117.29,508116
PSO,9/11/2023,117.06,118.8,116.75,118.13,1400626
PSO,9/12/2023,117.89,118.5,116.9,117.16,672941
PSO,9/13/2023,117.89,119.99,117.25,118.69,1069984
PSO,9/14/2023,118.99,120.5,118.9,119.04,644523
PSO,9/15/2023,121,122.38,119.57,119.93,1183480
PSO,9/18/2023,120.97,121.19,119.51,119.65,568309
PSO,9/19/2023,119.9,121,119.79,120.03,1182515
PSO,9/20/2023,120.48,120.51,118.8,119.03,315138
PSO,9/21/2023,119.3,121,118.86,120.48,431649
PSO,9/22/2023,121.25,121.98,120.01,121.44,935514
