Symbol,Date,Open,High,Low,Close,Volume
SCBPL,4/19/2023,19.99,19.99,19.95,19.99,6000
SCBPL,4/20/2023,19.99,20.19,19.9,20.07,23000
SCBPL,4/26/2023,20.85,20.85,20,20.17,4000
SCBPL,4/27/2023,21.15,21.5,20.15,20.95,670500
SCBPL,4/28/2023,20.6,21.49,20.6,21.35,508500
SCBPL,5/2/2023,21,22.2,21,22.01,30500
SCBPL,5/3/2023,21.5,21.5,21.25,21.25,1000
SCBPL,5/4/2023,21.99,22,21.7,21.75,193000
SCBPL,5/5/2023,21.5,21.5,20.5,20.53,105500
SCBPL,5/8/2023,20.65,20.99,20.65,20.7,8500
SCBPL,5/9/2023,20.51,20.75,20.15,20.45,13000
SCBPL,5/10/2023,20.89,20.89,20.87,20.88,3000
SCBPL,5/11/2023,21,21.49,21,21.49,26500
SCBPL,5/12/2023,21.49,21.75,21.49,21.75,1500
SCBPL,5/15/2023,21.5,21.9,21.5,21.85,4000
SCBPL,5/16/2023,21.5,21.51,21.5,21.5,9000
SCBPL,5/17/2023,21.01,21.01,21.01,21.01,1000
SCBPL,5/18/2023,21.88,21.88,21.5,21.5,1500
SCBPL,5/19/2023,21.5,21.87,21.5,21.87,3000
SCBPL,5/22/2023,21.95,21.95,21.5,21.5,1500
SCBPL,5/23/2023,21.5,21.99,21.5,21.5,2000
SCBPL,5/24/2023,21.5,21.9,21.5,21.9,1000
SCBPL,5/25/2023,22,22,21.51,21.51,18500
SCBPL,5/26/2023,21.01,21.95,21.01,21.95,6000
SCBPL,5/29/2023,21.02,21.96,21.02,21.86,22500
SCBPL,5/30/2023,21.12,21.93,21.12,21.2,2000
SCBPL,5/31/2023,20.52,21.03,20.52,21.03,2000
SCBPL,6/1/2023,21.89,21.89,21.89,21.89,500
SCBPL,6/5/2023,21.89,21.89,21.89,21.89,1500
SCBPL,6/6/2023,21.5,21.89,21.5,21.68,6500
SCBPL,6/7/2023,21.9,21.97,21.9,21.94,1000
SCBPL,6/8/2023,21.9,21.9,21.5,21.51,14500
SCBPL,6/9/2023,21.51,21.8,20.1,21.25,8000
SCBPL,6/13/2023,21,21,21,21,2500
SCBPL,6/14/2023,21,21,21,21,1000
SCBPL,6/19/2023,21,21,21,21,1000
SCBPL,6/20/2023,21,21,20.75,20.75,2000
SCBPL,6/21/2023,21,21,20.51,21,6000
SCBPL,6/22/2023,20.52,20.52,20.52,20.52,500
SCBPL,6/26/2023,20.99,20.99,20.5,20.52,21000
SCBPL,6/27/2023,21.48,21.75,21.48,21.75,3500
SCBPL,7/3/2023,21.02,22.4,21.02,21.85,24500
SCBPL,7/4/2023,21.5,21.5,21,21.11,46000
SCBPL,7/5/2023,21.75,21.79,21.5,21.78,6000
SCBPL,7/6/2023,21.99,21.99,20.8,21.95,26000
SCBPL,7/7/2023,21.99,21.99,21.9,21.95,27500
SCBPL,7/10/2023,21.9,22.04,21.75,22,69000
SCBPL,7/11/2023,22,22.19,21.8,21.85,624500
SCBPL,7/12/2023,21.85,22,21.55,21.9,538000
SCBPL,7/13/2023,22.15,22.25,21.9,21.9,5500
SCBPL,7/14/2023,21.31,21.31,21,21.11,9000
SCBPL,7/17/2023,21.95,21.95,21.95,21.95,3500
SCBPL,7/18/2023,21.99,21.99,21.55,21.55,20000
SCBPL,7/19/2023,21.86,22.23,21.6,21.78,173000
SCBPL,7/20/2023,21.99,22,21.02,21.97,852500
SCBPL,7/21/2023,21.9,23.49,21.8,22.96,1647000
SCBPL,7/24/2023,22.1,22.4,22,22.32,88000
SCBPL,7/25/2023,22.25,22.64,22,22.16,9000
SCBPL,7/26/2023,22.01,22.79,21.87,22,452500
SCBPL,7/27/2023,22.25,22.5,21.97,22.16,492500
SCBPL,7/31/2023,20.55,22.75,20.55,22.59,100500
SCBPL,8/1/2023,22.2,23.35,22.2,22.94,855000
SCBPL,8/2/2023,23,23,22.61,22.85,65500
SCBPL,8/3/2023,23.4,23.4,22.2,22.38,412500
SCBPL,8/4/2023,22.5,22.5,22.25,22.5,9000
SCBPL,8/7/2023,22.11,22.4,22.1,22.25,45000
SCBPL,8/8/2023,22.01,22.01,22,22,4000
SCBPL,8/9/2023,21.8,22.01,21.8,22,70000
SCBPL,8/10/2023,22.1,22.5,21.92,22.01,190500
SCBPL,8/11/2023,22,22.88,22,22.49,776000
SCBPL,8/15/2023,22.7,22.91,22.5,22.5,23000
SCBPL,8/16/2023,22.75,22.75,22.5,22.5,9500
SCBPL,8/17/2023,22.5,22.99,22.44,22.49,391500
SCBPL,8/18/2023,22.36,22.99,22.36,22.64,329500
SCBPL,8/21/2023,22.94,22.96,22,22.17,1160500
SCBPL,8/22/2023,22.15,23,22.15,22.96,57000
SCBPL,8/23/2023,23.2,23.5,22.9,23.42,141500
SCBPL,8/24/2023,25.18,25.18,25.18,25.18,97000
SCBPL,8/25/2023,27.07,27.07,27,27.07,1039000
SCBPL,8/28/2023,28.95,29.1,28.5,29.1,1870000
SCBPL,8/29/2023,29.4,29.4,28.3,28.49,613500
SCBPL,8/30/2023,28.25,28.75,28.21,28.46,915000
SCBPL,8/31/2023,28.49,28.5,27.6,27.96,161000
SCBPL,9/1/2023,28.39,28.85,27.61,28.56,148000
SCBPL,9/4/2023,28.99,29.4,28.55,28.68,45000
SCBPL,9/5/2023,28.95,28.95,27.8,28.12,196000
SCBPL,9/6/2023,24.01,24.12,23.53,23.59,21500
SCBPL,9/7/2023,23.51,24,23.51,23.69,29500
SCBPL,9/8/2023,23.65,24,23.6,23.95,39000
SCBPL,9/11/2023,23.75,23.76,23.75,23.75,13500
SCBPL,9/12/2023,23.76,25,23.76,24.45,23000
SCBPL,9/13/2023,24.65,24.72,24.65,24.69,2000
SCBPL,9/14/2023,24.49,24.49,24.2,24.2,3000
