Symbol,Date,Open,High,Low,Close,Volume
SSGC,4/19/2023,10,10.19,9.95,10.12,563365
SSGC,4/20/2023,10.12,10.4,10.08,10.22,301958
SSGC,4/26/2023,10.1,10.59,10.1,10.36,1866763
SSGC,4/27/2023,10.3,10.6,10.2,10.31,1005704
SSGC,4/28/2023,10.33,10.49,10.18,10.2,665274
SSGC,5/2/2023,10.34,10.34,10.16,10.18,594266
SSGC,5/3/2023,10.18,10.9,10.17,10.55,4825328
SSGC,5/4/2023,10.55,10.73,10.24,10.29,2259978
SSGC,5/5/2023,10.35,11.15,10.27,10.88,5700575
SSGC,5/8/2023,11,11.1,10.4,10.5,1985706
SSGC,5/9/2023,10.5,10.84,10.45,10.61,3445812
SSGC,5/10/2023,10.42,10.69,10.35,10.39,916131
SSGC,5/11/2023,10.38,10.59,10.35,10.39,387446
SSGC,5/12/2023,10.49,10.59,10.4,10.41,1150665
SSGC,5/15/2023,10.35,10.54,10.3,10.47,432335
SSGC,5/16/2023,10.48,10.55,10.37,10.39,688417
SSGC,5/17/2023,10.5,10.53,10.26,10.29,241958
SSGC,5/18/2023,10.34,10.45,9.99,10.01,2331381
SSGC,5/19/2023,10.1,10.24,10.02,10.06,1489987
SSGC,5/22/2023,10,10.03,9.5,9.53,2305137
SSGC,5/23/2023,9.59,9.6,9.25,9.27,511414
SSGC,5/24/2023,9.32,9.39,9.26,9.27,524142
SSGC,5/25/2023,9.39,9.39,9.15,9.17,482769
SSGC,5/26/2023,9.11,9.2,8.7,8.83,1705746
SSGC,5/29/2023,8.93,8.96,8.7,8.74,1078852
SSGC,5/30/2023,8.85,9.05,8.85,8.91,1168068
SSGC,5/31/2023,8.99,9.2,8.91,8.97,1680930
SSGC,6/1/2023,8.99,9.06,8.94,8.98,281181
SSGC,6/2/2023,9.02,9.02,8.92,8.96,134388
SSGC,6/5/2023,9.2,9.77,9.19,9.67,4105148
SSGC,6/6/2023,9.66,9.74,9.44,9.48,1401958
SSGC,6/7/2023,9.54,9.6,9.35,9.57,741665
SSGC,6/8/2023,9.59,9.74,9.34,9.36,528223
SSGC,6/9/2023,9.42,9.59,9.34,9.42,1388962
SSGC,6/12/2023,9.42,9.44,9.22,9.25,459475
SSGC,6/13/2023,9.38,9.38,9.02,9.05,760212
SSGC,6/14/2023,9.06,9.09,8.88,8.91,764189
SSGC,6/15/2023,8.97,9,8.7,8.79,538662
SSGC,6/16/2023,8.9,8.98,8.79,8.87,557925
SSGC,6/19/2023,8.96,8.97,8.69,8.8,640206
SSGC,6/20/2023,8.8,8.96,8.8,8.83,737685
SSGC,6/21/2023,8.88,8.9,8.7,8.75,373253
SSGC,6/22/2023,8.76,8.79,8.6,8.62,477490
SSGC,6/23/2023,8.84,8.85,8.4,8.45,369958
SSGC,6/26/2023,8.5,8.94,8.5,8.71,2500247
SSGC,6/27/2023,8.71,8.71,8.51,8.59,846649
SSGC,7/3/2023,9,9.59,8.99,9.58,3033704
SSGC,7/4/2023,9.7,9.7,9.3,9.41,2082749
