Symbol,Date,Open,High,Low,Close,Adj Close,Volume
GME,4/24/2023,20.15,20.41,19.809999,19.93,19.93,2742400
GME,4/25/2023,19.74,20.040001,18.91,19,19,2560800
GME,4/26/2023,18.98,19.23,18.65,18.65,18.65,2287600
GME,4/27/2023,18.75,19.34,18.719999,18.940001,18.940001,2238900
GME,4/28/2023,18.92,19.719999,18.879999,19.290001,19.290001,2835200
GME,5/1/2023,19.16,19.25,18.459999,18.549999,18.549999,2356600
GME,5/2/2023,18.450001,18.58,18.059999,18.58,18.58,1918300
GME,5/3/2023,18.559999,19.200001,18.530001,18.9,18.9,3184000
GME,5/4/2023,19.25,19.48,18.92,19.35,19.35,2041800
GME,5/5/2023,19.620001,20.879999,19.51,20.42,20.42,4353700
GME,5/8/2023,20.459999,20.99,20.09,20.51,20.51,2402800
GME,5/9/2023,20.16,20.65,20.120001,20.24,20.24,1522700
GME,5/10/2023,20.450001,20.959999,20.379999,20.76,20.76,2139900
GME,5/11/2023,20.690001,21.16,20.51,20.879999,20.879999,1652500
GME,5/12/2023,20.83,20.98,20.23,20.690001,20.690001,2003900
GME,5/15/2023,20.620001,21.629999,20.49,21.620001,21.620001,2602000
GME,5/16/2023,21.5,22.1,21.42,21.99,21.99,2498000
GME,5/17/2023,21.99,23.25,21.9,22.870001,22.870001,4573000
GME,5/18/2023,22.9,23.299999,22.68,23.049999,23.049999,2144400
GME,5/19/2023,22.940001,22.99,21.75,22.059999,22.059999,2665900
GME,5/22/2023,22.1,24.360001,21.99,24.209999,24.209999,6251600
GME,5/23/2023,23.889999,23.9,22.799999,23.16,23.16,3786500
GME,5/24/2023,23.129999,23.52,22.73,23.27,23.27,1901000
GME,5/25/2023,23.5,23.690001,22.709999,23.35,23.35,2494400
GME,5/26/2023,23.469999,23.709999,23.059999,23.25,23.25,2261900
GME,5/30/2023,23.35,24.690001,23.299999,24.57,24.57,5037800
GME,5/31/2023,24.51,24.799999,23.879999,24.049999,24.049999,4265200
GME,6/1/2023,24.040001,24.66,23.780001,24.1,24.1,3845000
GME,6/2/2023,24.290001,24.93,24.280001,24.639999,24.639999,3293100
GME,6/5/2023,24.530001,25.84,24.16,24.309999,24.309999,4201900
GME,6/6/2023,24.01,25.25,24,24.690001,24.690001,3984300
GME,6/7/2023,26.200001,26.549999,25.07,26.110001,26.110001,18001100
GME,6/8/2023,20.299999,22,20.1,21.440001,21.440001,19213300
GME,6/9/2023,21.780001,23.43,21.5,22.68,22.68,10321200
GME,6/12/2023,22.85,24.299999,22.74,24.299999,24.299999,7131400
GME,6/13/2023,26.200001,27.65,25.030001,26.950001,26.950001,17160600
GME,6/14/2023,26.719999,27.08,24.9,25.700001,25.700001,7243700
GME,6/15/2023,25.41,26.17,24.639999,24.84,24.84,5501800
GME,6/16/2023,25.02,25.110001,24.42,24.559999,24.559999,4427000
GME,6/20/2023,24.41,24.65,23.719999,24.58,24.58,3250700
GME,6/21/2023,24.84,25.1,24.1,24.43,24.43,2404700
GME,6/22/2023,24.129999,24.33,23.76,24.32,24.32,1889600
GME,6/23/2023,23.780001,24.15,23.68,23.700001,23.700001,2230800
GME,6/26/2023,23.379999,24.030001,22.91,23.02,23.02,2525200
GME,6/27/2023,23.290001,23.6,23,23.58,23.58,2141500
GME,6/28/2023,23.440001,25.1,23.4,24.98,24.98,3493900
GME,6/29/2023,24.959999,25.469999,24.620001,24.9,24.9,3101000
GME,6/30/2023,24.969999,25.129999,24.25,24.25,24.25,2797500
GME,7/3/2023,24.290001,25.110001,24.209999,24.91,24.91,1806600
GME,7/5/2023,24.639999,24.85,23.790001,23.9,23.9,2263100
GME,7/6/2023,23.52,23.57,22.82,22.83,22.83,2384600
GME,7/7/2023,22.969999,23.530001,22.67,22.709999,22.709999,2439600
GME,7/10/2023,22.610001,23.559999,22,23.540001,23.540001,3318200
GME,7/11/2023,23.200001,24.440001,23.200001,23.91,23.91,3063500
GME,7/12/2023,24.25,24.309999,23.440001,23.440001,23.440001,1742200
GME,7/13/2023,23.540001,23.98,23.42,23.459999,23.459999,1912200
GME,7/14/2023,23.49,23.719999,22.940001,22.969999,22.969999,2175300
GME,7/17/2023,22.879999,23.309999,22.700001,22.82,22.82,2026000
GME,7/18/2023,22.719999,23.799999,22.68,23.08,23.08,2345100
GME,7/19/2023,23.42,23.58,22.959999,23.17,23.17,2250100
GME,7/20/2023,23.01,23.219999,22.66,22.91,22.91,2256700
GME,7/21/2023,23.049999,23.219999,22.16,22.18,22.18,3134100
GME,7/24/2023,22.42,23.040001,22.200001,23.040001,23.040001,2970400
GME,7/25/2023,23.1,23.1,22.530001,22.85,22.85,1672000
GME,7/26/2023,22.700001,22.99,22.48,22.700001,22.700001,1489200
GME,7/27/2023,22.940001,23.49,22.129999,22.219999,22.219999,3370900
GME,7/28/2023,22.02,22.49,21.790001,21.93,21.93,2642100
GME,7/31/2023,22,22.379999,21.85,22.200001,22.200001,1973400
GME,8/1/2023,21.950001,22,21.26,21.5,21.5,2567100
GME,8/2/2023,21.15,21.15,20.34,20.83,20.83,2625800
GME,8/3/2023,20.879999,21.18,20.74,20.93,20.93,1318700
GME,8/4/2023,20.950001,21.889999,20.889999,20.98,20.98,2400500
GME,8/7/2023,20.9,21.24,20.48,21.07,21.07,1441300
GME,8/8/2023,20.700001,20.9,20.280001,20.74,20.74,1431300
GME,8/9/2023,20.85,20.85,19.82,19.93,19.93,2929600
GME,8/10/2023,20,20.290001,19.870001,20.190001,20.190001,1432400
GME,8/11/2023,20.030001,20.379999,19.969999,20.190001,20.190001,1500200
GME,8/14/2023,19.75,20.01,19.08,19.959999,19.959999,3329300
GME,8/15/2023,19.77,19.780001,19.09,19.33,19.33,2290300
GME,8/16/2023,19.18,19.34,18.549999,18.59,18.59,3015600
GME,8/17/2023,18.790001,18.809999,18.299999,18.379999,18.379999,2056800
GME,8/18/2023,18.18,18.66,18.139999,18.360001,18.360001,2023900
GME,8/21/2023,18.299999,18.82,18.200001,18.48,18.48,2864700
GME,8/22/2023,18.620001,18.620001,17.25,17.26,17.26,3791900
GME,8/23/2023,17.25,17.34,16.879999,16.889999,16.889999,2909100
GME,8/24/2023,16.940001,16.98,16.18,16.360001,16.360001,3624500
GME,8/25/2023,16.5,17.18,16.450001,17.129999,17.129999,3423500
GME,8/28/2023,17.35,18.110001,17.25,17.57,17.57,3007400
GME,8/29/2023,17.6,18.549999,17.6,18.24,18.24,2709200
GME,8/30/2023,18.200001,18.52,17.91,18.370001,18.370001,1884500
GME,8/31/2023,18.41,19.42,18.15,18.549999,18.549999,4674100
GME,9/1/2023,18.66,18.73,18.32,18.42,18.42,2131800
GME,9/5/2023,18.450001,19.34,18.26,19.23,19.23,3781300
GME,9/6/2023,19.059999,19.15,18.42,18.75,18.75,6107200
GME,9/7/2023,19.129999,19.48,17.610001,18.889999,18.889999,5021300
GME,9/8/2023,18.15,18.5,17.35,17.709999,17.709999,4689200
GME,9/11/2023,17.85,17.85,16.9,17.02,17.02,3543800
GME,9/12/2023,17.530001,18.5,17.190001,17.23,17.23,5179400
GME,9/13/2023,17.309999,17.93,17.27,17.809999,17.809999,3012600
GME,9/14/2023,17.799999,18.52,17.6,18.33,18.33,3078000
GME,9/15/2023,18.360001,18.610001,18.15,18.219999,18.219999,6158000
GME,9/18/2023,17.99,18.1,17.35,17.549999,17.549999,3694600
GME,9/19/2023,17.59,17.639999,17.129999,17.52,17.52,2584200
GME,9/20/2023,17.629999,17.93,17.450001,17.52,17.52,2129800
GME,9/21/2023,17.280001,17.32,16.65,17.02,17.02,2910700
GME,9/22/2023,17.18,17.35,17,17.18,17.18,2100300
