Date,Open,High,Low,Close,Adj Close,Volume,feature1,feature2,feature3,feature4,feature5
4/24/2023,0.90973,0.91168,0.90627,0.90973,0.90973,0,0.0,0.0,0.0,0.0,0.0
4/25/2023,0.9042,0.91164,0.9035,0.9042,0.9042,0,0.0,0.0,0.0,0.0,0.0
4/26/2023,0.91088,0.91164,0.90138,0.91088,0.91088,0,0.0,0.0,0.0,0.0,0.0
4/27/2023,0.9052,0.90957,0.9037,0.9052,0.9052,0,0.0,0.0,0.0,0.0,0.0
4/28/2023,0.90645,0.91194,0.90549,0.90645,0.90645,0,0.0,0.0,0.0,0.0,0.0
5/1/2023,0.90819,0.91183,0.90616,0.90819,0.90819,0,0.0,0.0,0.0,0.0,0.0
5/2/2023,0.91164,0.91378,0.90866,0.91164,0.91164,0,0.0,0.0,0.0,0.0,0.0
5/3/2023,0.90819,0.9086,0.90431,0.90819,0.90819,0,0.0,0.0,0.0,0.0,0.0
5/4/2023,0.90343,0.91018,0.9016,0.90343,0.90343,0,0.0,0.0,0.0,0.0,0.0
5/5/2023,0.9072,0.91144,0.905141,0.9072,0.9072,0,0.0,0.0,0.0,0.0,0.0
5/8/2023,0.90755,0.90806,0.9047,0.90755,0.90755,0,0.0,0.0,0.0,0.0,0.0
5/9/2023,0.90941,0.91374,0.909,0.90941,0.90941,0,0.0,0.0,0.0,0.0,0.0
5/10/2023,0.91202,0.91384,0.9087,0.91202,0.91202,0,0.0,0.0,0.0,0.0,0.0
5/11/2023,0.91041,0.91732,0.9092,0.91041,0.91041,0,0.0,0.0,0.0,0.0,0.0
5/12/2023,0.91641,0.92118,0.91448,0.91641,0.91641,0,0.0,0.0,0.0,0.0,0.0
5/15/2023,0.92143,0.92178,0.9181,0.92143,0.92143,0,0.0,0.0,0.0,0.0,0.0
5/16/2023,0.91965,0.92109,0.91713,0.91965,0.91965,0,0.0,0.0,0.0,0.0,0.0
5/17/2023,0.92033,0.92493,0.9195,0.92033,0.92033,0,0.0,0.0,0.0,0.0,0.0
5/18/2023,0.92265,0.9289,0.9217,0.92265,0.92265,0,0.0,0.0,0.0,0.0,0.0
5/19/2023,0.92804,0.92928,0.92388,0.92804,0.92804,0,0.0,0.0,0.0,0.0,0.0
5/22/2023,0.92398,0.92622,0.9233,0.92398,0.92398,0,0.0,0.0,0.0,0.0,0.0
5/23/2023,0.92498,0.92904,0.9241,0.92498,0.92498,0,0.0,0.0,0.0,0.0,0.0
5/24/2023,0.92853,0.93026,0.92598,0.92853,0.92853,0,0.0,0.0,0.0,0.0,0.0
5/25/2023,0.9296,0.93371,0.92987,0.9296,0.9296,0,0.0,0.0,0.0,0.0,0.0
5/26/2023,0.93245,0.9344,0.92958,0.93245,0.93245,0,0.0,0.0,0.0,0.0,0.0
5/29/2023,0.93257,0.93403,0.9306,0.93257,0.93257,0,0.0,0.0,0.0,0.0,0.0
5/30/2023,0.93391,0.93691,0.9306,0.93391,0.93391,0,0.0,0.0,0.0,0.0,0.0
5/31/2023,0.9317,0.93882,0.9312,0.9317,0.9317,0,0.0,0.0,0.0,0.0,0.0
6/1/2023,0.935,0.93772,0.929887,0.935,0.935,0,0.0,0.0,0.0,0.0,0.0
6/2/2023,0.9293,0.933,0.9277,0.9293,0.9293,0,0.0,0.0,0.0,0.0,0.0
6/5/2023,0.9347,0.93679,0.9326,0.9347,0.9347,0,0.0,0.0,0.0,0.0,0.0
6/6/2023,0.93355,0.93744,0.9317,0.93355,0.93355,0,0.0,0.0,0.0,0.0,0.0
6/7/2023,0.93475,0.93731,0.93108,0.93475,0.93475,0,0.0,0.0,0.0,0.0,0.0
